condition,data_label,samples_per_anchor_source,contrast,metric,n_model_seeds,mean_difference,difference_seed_sd,action_min_better_seed_count,seed_differences
confounded,n32_extra_compute,32,action_level_min_minus_source_3,regret_median,1,-0.012668062071213626,0.0,1,[-0.012668062071213626]
confounded,n32_extra_compute,32,action_level_min_minus_source_3,regret_p90,1,-0.03971010229575955,0.0,1,[-0.03971010229575955]
confounded,n32_extra_compute,32,action_level_min_minus_source_3,regret_cvar90,1,-1.1058560046846786,0.0,1,[-1.1058560046846786]
confounded,n64,64,action_level_min_minus_pooled_balanced,regret_mean,3,0.05870859185575691,0.06606804285410528,1,"[0.1277994654864536,0.05217787746063285,-0.0038515673798157346]"
confounded,n64,64,action_level_min_minus_pooled_balanced,regret_median,3,0.041613271596096034,0.08021031188972763,1,"[0.11700911494875754,0.050501766795321146,-0.04267106695579059]"
confounded,n64,64,action_level_min_minus_pooled_balanced,regret_p90,3,-0.005697993724339619,0.2100174026444654,2,"[0.2272638285181805,-0.18052186883107812,-0.06383594086012123]"
confounded,n64,64,action_level_min_minus_pooled_balanced,regret_cvar90,3,0.3193121089449444,0.38225905410224265,1,"[-0.11504724388960952,0.6044693470793199,0.46851422364512274]"
confounded,n64,64,action_level_min_minus_source_3,regret_mean,3,0.04370378353773108,0.034596986415486704,0,"[0.052021723747922466,0.07338355413065978,0.00570607273461099]"
confounded,n64,64,action_level_min_minus_source_3,regret_median,3,0.07919975211223118,0.09645500300351006,1,"[0.11476740254579454,0.1528203813076061,-0.02998852751670711]"
confounded,n64,64,action_level_min_minus_source_3,regret_p90,3,-0.060153493993392836,0.0532646447778009,2,"[-0.07912662655174296,-0.10133385542843554,0.0]"
confounded,n64,64,action_level_min_minus_source_3,regret_cvar90,3,-0.11047652507450086,0.18355773363436964,2,"[-0.2538858480820174,-0.1739338631596823,0.09639013601819713]"
independent_latents,n128,128,action_level_min_minus_pooled_balanced,regret_mean,1,0.056279580044119815,0.0,0,[0.056279580044119815]
independent_latents,n128,128,action_level_min_minus_pooled_balanced,regret_median,1,0.14061276911951381,0.0,0,[0.14061276911951381]
independent_latents,n128,128,action_level_min_minus_pooled_balanced,regret_p90,1,0.14407484086608546,0.0,0,[0.14407484086608546]
independent_latents,n128,128,action_level_min_minus_pooled_balanced,regret_cvar90,1,-0.13275401640574813,0.0,1,[-0.13275401640574813]
independent_latents,n128,128,action_level_min_minus_source_3,regret_mean,1,0.03735207971266219,0.0,0,[0.03735207971266219]
independent_latents,n128,128,action_level_min_minus_source_3,regret_median,1,0.0895040488933887,0.0,0,[0.0895040488933887]
independent_latents,n128,128,action_level_min_minus_source_3,regret_p90,1,0.20564787993279232,0.0,0,[0.20564787993279232]
independent_latents,n128,128,action_level_min_minus_source_3,regret_cvar90,1,-0.39959820526225087,0.0,1,[-0.39959820526225087]
