condition,seed,data_label,samples_per_anchor_source,gradient_updates,method,candidate_count,do_mae,do_rmse,signed_error,underestimation_fraction,mean_positive_slack,top_action_disagreement,strict_flip,selected_action_0_fraction,selected_action_1_fraction,selected_action_2_fraction,regret_mean,regret_median,regret_conditional_mean,regret_p90,regret_max,phi_mae,phi_signed_bias,regret_cvar90,regret_p95
confounded,1,n32,32,1000,source_2,28,3.665420232059604,4.647438512652119,3.024718214666398,0.14656771799628943,3.3450692233630006,0.9090909090909091,0.9090909090909091,0.06493506493506493,0.05194805194805195,0.012987012987012988,0.969725283985807,0.6629054739909179,1.0666978123843878,2.043115156947364,6.989184254775296,5.936719973867938,5.677606628503319,3.6875684824909882,3.254419373082295
confounded,1,n32,32,1000,source_3,28,3.1966394845058783,4.216728037678466,2.115207978300757,0.22634508348794063,2.655923731403318,0.922077922077922,0.922077922077922,0.07792207792207792,0.025974025974025976,0.06493506493506493,0.8739020932715943,0.5584345712553613,0.9477529743931374,1.4469241496063774,7.6305217211815375,4.068069281495082,3.5732200622152086,3.659623359151851,2.3627102336679093
confounded,1,n32,32,1000,pooled_balanced,28,3.475129735542348,4.331267034440721,2.6857984142251285,0.18320964749536178,3.080464074883738,0.922077922077922,0.922077922077922,0.03896103896103896,0.012987012987012988,0.05194805194805195,0.6792726792923737,0.40311715127859316,0.7366760043029967,1.3921377379409547,7.918260133971501,4.422064746354787,4.156663604789674,2.983031131383383,1.9004555684561868
confounded,1,n32,32,1000,state_level_min,28,2.6290855843707246,3.656590554637202,0.17751566810916242,0.38358070500927643,1.4033006262399434,0.922077922077922,0.922077922077922,0.07792207792207792,0.025974025974025976,0.03896103896103896,0.9328711406668689,0.5907903186495105,1.0117053215682945,2.128636142768221,6.989184254775296,3.0447501757772577,1.5737390293614628,3.7933761074858445,3.2870609015551224
confounded,1,n32,32,1000,action_level_min,28,2.547901052570461,3.6099923238066354,-0.033752172981411595,0.40630797773654914,1.2570744397945246,0.935064935064935,0.935064935064935,0.05194805194805195,0.012987012987012988,0.03896103896103896,0.91034729985331,0.6079980049847791,0.9735658623431233,1.9098460747542525,6.989184254775296,2.97893956704752,1.4826842026700036,3.4775964170028573,2.9600690265327794
confounded,2,n32,32,1000,source_1,28,3.446275887560968,4.321184107599304,2.0388632121800825,0.22727272727272727,2.742569549870525,0.8961038961038961,0.8961038961038961,0.0,0.012987012987012988,0.0,0.864053614756097,0.45139491612161464,0.9642337440031807,2.0256873898474637,5.954751614083932,4.242807437778391,3.504414745706211,3.6840486163805295,2.942318660078719
confounded,2,n32,32,1000,source_2,28,2.617286566519662,3.4751313326715914,1.7507687634672593,0.28385899814471244,2.1840276649934607,0.9090909090909091,0.9090909090909091,0.05194805194805195,0.03896103896103896,0.012987012987012988,0.9399679978922182,0.5830376131632988,1.0339647976814401,2.4754386569740974,6.7453314004015965,3.6217051059536995,3.2833625859041424,3.9450750020057193,2.943494145202682
confounded,2,n32,32,1000,source_3,28,3.3773068415095024,4.105467978326901,3.010954906868234,0.09276437847866419,3.1941308741888683,0.935064935064935,0.935064935064935,0.11688311688311688,0.05194805194805195,0.03896103896103896,0.740075848076078,0.40783272531746206,0.7914700041924723,1.740312776646627,6.7453314004015965,4.728541206336394,4.668272869975166,3.3145037373474757,2.32226065970134
confounded,2,n32,32,1000,pooled_balanced,28,3.186033453988702,4.051395398899919,2.5604797151402616,0.1614100185528757,2.8732565845644813,0.922077922077922,0.922077922077922,0.06493506493506493,0.025974025974025976,0.0,0.8887073073460439,0.43003787688651585,0.963809333318949,2.0962965600165617,6.7453314004015965,4.467903557764566,4.0741602635573955,4.0057289236568785,3.189910661910995
confounded,2,n32,32,1000,state_level_min,28,2.254579133802243,3.1985383863566743,0.45581452383281695,0.3747680890538033,1.35519682881753,0.8701298701298701,0.8701298701298701,0.03896103896103896,0.025974025974025976,0.0,0.7633125208128378,0.40783272531746206,0.8772397627252018,1.920614916613772,5.954751614083932,2.675110555070622,1.7895485130645687,3.1599414165945205,2.321821827813506
confounded,2,n32,32,1000,action_level_min,28,2.144774601271363,3.0669243642248185,0.2669617606649179,0.3984230055658627,1.2058681809681404,0.8831168831168831,0.8831168831168831,0.05194805194805195,0.012987012987012988,0.0,0.7859287093823487,0.433200832626369,0.8899486856241301,1.824398291970659,6.7453314004015965,2.5839348918323775,1.6537228194974223,3.4224277367518354,2.5724978819086584
confounded,0,n64,64,2000,source_1,28,3.0593506001930795,4.151896835680996,2.5047094168567794,0.15816326530612246,2.78203000852493,0.922077922077922,0.922077922077922,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.676691877646239,0.4941145154309652,0.7338771067431042,1.6106997428077194,2.6114296360779576,4.268054595606419,4.222632318586739,2.094869187367909,1.971764616866768
confounded,0,n64,64,2000,source_2,28,3.426435589644068,4.278118916419584,3.1015717840435575,0.10575139146567718,3.2640036868438123,0.9090909090909091,0.9090909090909091,0.06493506493506493,0.012987012987012988,0.025974025974025976,0.560467951386007,0.4018072896831768,0.6165147465246077,1.3591835902665717,2.1940847514826487,5.162653854587346,5.046697916129136,1.6988553852266115,1.5475511587568695
