condition,conditional_positive_mean,kappa,lambda_reward,max,mean,median,min,mixture,model_seed,n,negative_fraction,p90,p99,positive_fraction,source,top_1pct_total_contribution,top_set_rule,zero_fraction
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger2_heavy,0,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,worst,
confounded,0.006113043225357979,0.0,0.05,0.014561894727489477,0.005564436782056622,0.004625834457568034,0.0,logger2_heavy,0,78,,0.012661211120799098,0.014509129222855034,,neural,0.03355073754216248,best,
confounded,0.006113043225357979,0.0,0.05,0.014561894727489477,0.005564436782056622,0.004625834457568034,0.0,logger2_heavy,0,78,,0.012661211120799098,0.014509129222855034,,neural,0.03355073754216248,worst,
confounded,,0.0,0.05,0.0,-0.00031319631138690906,0.0,-0.013315073235235175,logger2_heavy,0,78,0.05128205128205128,0.0,0.0,0.0,neural_minus_observational,-0.0,best,0.9487179487179487
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger2_heavy,1,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,best,
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger2_heavy,1,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,worst,
confounded,0.006204648223190005,0.0,0.05,0.014561894727489477,0.005727367590636927,0.004823937133084488,0.0,logger2_heavy,1,78,,0.012806157761590152,0.014509129222855034,,neural,0.03259629403741055,best,
confounded,0.006204648223190005,0.0,0.05,0.014561894727489477,0.005727367590636927,0.004823937133084488,0.0,logger2_heavy,1,78,,0.012806157761590152,0.014509129222855034,,neural,0.03259629403741055,worst,
confounded,,0.0,0.05,0.0,-0.0001502655028066039,0.0,-0.005340289987942448,logger2_heavy,1,78,0.038461538461538464,0.0,0.0,0.0,neural_minus_observational,-0.0,best,0.9615384615384616
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger2_heavy,2,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,best,
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger2_heavy,2,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,worst,
confounded,0.006086872780137582,0.0,0.05,0.014561894727489477,0.005774725458079244,0.004625834457568034,0.0,logger2_heavy,2,78,,0.012806157761590152,0.014509129222855034,,neural,0.03232897553312135,best,
confounded,0.006086872780137582,0.0,0.05,0.014561894727489477,0.005774725458079244,0.004625834457568034,0.0,logger2_heavy,2,78,,0.012806157761590152,0.014509129222855034,,neural,0.03232897553312135,worst,
confounded,,0.0,0.05,0.0,-0.00010290763536428649,0.0,-0.0025845767080450166,logger2_heavy,2,78,0.05128205128205128,0.0,0.0,0.0,neural_minus_observational,-0.0,best,0.9487179487179487
independent_latents,,0.0,0.05,0.0,0.0,0.0,0.0,logger1_heavy,0,78,,0.0,0.0,,observational,0.0,best,
independent_latents,,0.0,0.05,0.0,0.0,0.0,0.0,logger1_heavy,0,78,,0.0,0.0,,observational,0.0,worst,
independent_latents,0.00443812880932697,0.0,0.05,0.014493368098094095,0.002048367142766294,0.0,0.0,logger1_heavy,0,78,,0.005280814083675399,0.013005923943949713,,neural,0.09071245463500724,best,
independent_latents,0.00443812880932697,0.0,0.05,0.014493368098094095,0.002048367142766294,0.0,0.0,logger1_heavy,0,78,,0.005280814083675399,0.013005923943949713,,neural,0.09071245463500724,worst,
independent_latents,0.00443812880932697,0.0,0.05,0.014493368098094095,0.002048367142766294,0.0,0.0,logger1_heavy,0,78,0.0,0.005280814083675399,0.013005923943949713,0.46153846153846156,neural_minus_observational,0.09071245463500724,best,0.5384615384615384
independent_latents,,0.0,0.05,0.0,0.0,0.0,0.0,logger1_heavy,1,78,,0.0,0.0,,observational,0.0,best,
independent_latents,,0.0,0.05,0.0,0.0,0.0,0.0,logger1_heavy,1,78,,0.0,0.0,,observational,0.0,worst,
independent_latents,0.005000119881218333,0.0,0.05,0.014169029059608373,0.0016667066270727776,0.0,0.0,logger1_heavy,1,78,,0.004822156753045846,0.013462890694509353,,neural,0.10898991805892413,best,
independent_latents,0.005000119881218333,0.0,0.05,0.014169029059608373,0.0016667066270727776,0.0,0.0,logger1_heavy,1,78,,0.004822156753045846,0.013462890694509353,,neural,0.10898991805892413,worst,
independent_latents,0.005000119881218333,0.0,0.05,0.014169029059608373,0.0016667066270727776,0.0,0.0,logger1_heavy,1,78,0.0,0.004822156753045846,0.013462890694509353,0.3333333333333333,neural_minus_observational,0.10898991805892413,best,0.6666666666666666
independent_latents,,0.0,0.05,0.0,0.0,0.0,0.0,logger1_heavy,2,78,,0.0,0.0,,observational,0.0,best,
independent_latents,,0.0,0.05,0.0,0.0,0.0,0.0,logger1_heavy,2,78,,0.0,0.0,,observational,0.0,worst,
