action,condition,error_type,kappa,lambda_reward,mae,max,max_abs,mean_abs_common_shift,mean_centered_bias_l2,mean_max_abs_action_residual,median,min,mixture,model_seed,n,n_anchors,p90_abs,record_type,rmse,signed_mean
minus,independent_latents,population_causal_bias,0.0,0.0,2.1492779066461364e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,0,78,,4.440892098500626e-16,action_error,3.1527406848330565e-16,2.0354088784794536e-16
minus,independent_latents,neural_approximation_error,0.0,0.0,0.020107321470433863,0.07693315510113763,0.07693315510113763,,,,-0.004359154942477517,-0.0715731443511709,logger1_heavy,0,78,,0.052864278789589526,action_error,0.027615753118164024,-0.002238222004450936
minus,independent_latents,total_neural_do_error,0.0,0.0,0.020107321470433846,0.07693315510113807,0.07693315510113807,,,,-0.004359154942477517,-0.0715731443511709,logger1_heavy,0,78,,0.052864278789589526,action_error,0.02761575311816403,-0.0022382220044507325
base,independent_latents,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,0,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,independent_latents,neural_approximation_error,0.0,0.0,0.018635047566479192,0.07586535849078935,0.07586535849078935,,,,-0.0005417820616280267,-0.06654246219697146,logger1_heavy,0,78,,0.051681297414271556,action_error,0.02613388495558702,-0.0010428118810896525
base,independent_latents,total_neural_do_error,0.0,0.0,0.018635047566479192,0.07586535849078935,0.07586535849078935,,,,-0.0005417820616280267,-0.06654246219697146,logger1_heavy,0,78,,0.051681297414271424,action_error,0.026133884955587015,-0.0010428118810896297
plus,independent_latents,population_causal_bias,0.0,0.0,2.50511861966702e-16,8.881784197001252e-16,8.881784197001252e-16,,,,1.6653345369377348e-16,-4.440892098500626e-16,logger1_heavy,0,78,,4.440892098500626e-16,action_error,3.586535475322008e-16,2.277380563333654e-16
plus,independent_latents,neural_approximation_error,0.0,0.0,0.01942030433107585,0.0790677965677351,0.0790677965677351,,,,-0.0004773797310349548,-0.06395974102589186,logger1_heavy,0,78,,0.04540878989388925,action_error,0.026377410726526482,0.0006853834369642905
plus,independent_latents,total_neural_do_error,0.0,0.0,0.01942030433107586,0.07906779656773555,0.07906779656773555,,,,-0.00047737973103467723,-0.06395974102589097,logger1_heavy,0,78,,0.04540878989388895,action_error,0.02637741072652649,0.0006853834369645182
minus,independent_latents,population_causal_bias,0.0,0.0,2.1492779066461364e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,1,78,,4.440892098500626e-16,action_error,3.1527406848330565e-16,2.0354088784794536e-16
minus,independent_latents,neural_approximation_error,0.0,0.0,0.028473932549760165,0.10958366120695784,0.26917836368452086,,,,0.0022233172824792646,-0.26917836368452086,logger1_heavy,1,78,,0.061725192244181666,action_error,0.04902272911144931,-0.0030677796321409334
minus,independent_latents,total_neural_do_error,0.0,0.0,0.028473932549760217,0.10958366120695828,0.26917836368452086,,,,0.0022233172824797087,-0.26917836368452086,logger1_heavy,1,78,,0.061725192244181666,action_error,0.04902272911144933,-0.00306777963214073
base,independent_latents,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,1,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,independent_latents,neural_approximation_error,0.0,0.0,0.027252709101716534,0.11728234494619638,0.25564382613080694,,,,0.0010659372936083766,-0.25564382613080694,logger1_heavy,1,78,,0.06069462390609884,action_error,0.0477512297144732,-0.0030679687993651374
