condition,kappa,lambda_reward,mixture,model_seed,n_anchors,neural_calibration_mae,neural_gap_absolute_error,nn_do_rank_error,nn_obs_rank_error,nn_regret,obs_do_rank_error,obs_regret,random_action_regret
confounded,0.3,0.05,logger1_heavy,0,78,0.03633665103377749,0.026057065594672045,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.05,logger1_heavy,1,78,0.039775538652749944,0.02602989173182921,0.9358974358974359,0.038461538461538464,0.005240976763640572,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.05,logger1_heavy,2,78,0.03658066355144791,0.03038783668304472,0.9487179487179487,0.01282051282051282,0.005413377728935753,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.05,logger12_balanced,0,78,0.03325051955426753,0.021343412353199465,0.8974358974358975,0.0641025641025641,0.0049943979980788195,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.05,logger12_balanced,1,78,0.036608040629415826,0.02468723727784802,0.9487179487179487,0.02564102564102564,0.005293913188671933,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.05,logger12_balanced,2,78,0.03192765543642211,0.023738520450301503,0.9358974358974359,0.01282051282051282,0.005387430817640848,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.05,logger2_heavy,0,78,0.031241858860998086,0.01674065738825961,0.8974358974358975,0.08974358974358974,0.004922833155158844,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.05,logger2_heavy,1,78,0.03427206797681415,0.019016331853260134,0.9615384615384616,0.0641025641025641,0.005138758802406809,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.05,logger2_heavy,2,78,0.025787385267580377,0.017516074090772493,0.9358974358974359,0.05128205128205128,0.005233233702385853,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
independent_latents,0.3,0.05,logger1_heavy,0,78,0.022935027282814796,0.00529076050073173,0.5128205128205128,0.5128205128205128,0.0021253883642395974,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.05,logger1_heavy,1,78,0.023637409261389773,0.005206002228433719,0.48717948717948717,0.48717948717948717,0.0018446075268282386,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.05,logger1_heavy,2,78,0.028415382068410145,0.005308194789167944,0.44871794871794873,0.44871794871794873,0.0017444976303937943,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.05,logger12_balanced,0,78,0.022935027282814796,0.00529076050073173,0.5128205128205128,0.5128205128205128,0.0021253883642395974,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.05,logger12_balanced,1,78,0.023637409261389773,0.005206002228433719,0.48717948717948717,0.48717948717948717,0.0018446075268282386,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.05,logger12_balanced,2,78,0.028415382068410145,0.005308194789167944,0.44871794871794873,0.44871794871794873,0.0017444976303937943,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.05,logger2_heavy,0,78,0.022935027282814796,0.00529076050073173,0.5128205128205128,0.5128205128205128,0.0021253883642395974,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.05,logger2_heavy,1,78,0.023637409261389773,0.005206002228433719,0.48717948717948717,0.48717948717948717,0.0018446075268282386,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.05,logger2_heavy,2,78,0.028415382068410145,0.005308194789167944,0.44871794871794873,0.44871794871794873,0.0017444976303937943,0.0,0.0,0.0027819140424818647
confounded,0.3,0.1,logger1_heavy,0,78,0.051822457642615394,0.039236964162947065,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.1,logger1_heavy,1,78,0.051375553472140525,0.039511004541994334,0.9615384615384616,0.02564102564102564,0.005378537069944652,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.1,logger1_heavy,2,78,0.04842882742169081,0.03906965379887869,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.1,logger12_balanced,0,78,0.04413139567593249,0.03475369952719213,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.1,logger12_balanced,1,78,0.05029779090250183,0.04035369167715609,0.9615384615384616,0.02564102564102564,0.005378537069944652,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.1,logger12_balanced,2,78,0.042225645036518204,0.03135215812049767,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
