absolute_gap_error,aggregate_margin_ratio,condition,kappa,lambda_reward,matched_aggregate_gap_ratio,mean_margin_do,mean_margin_on_do_pair,mean_matched_gap_difference,median_absolute_gap_error,mixture,model_seed,n_anchors,n_matching_top_sets,n_non_tied_do_pairs,overconfident_fraction,p90_absolute_gap_error,pearson_true_margin,sign_preservation_rate,signed_gap_error,source,spearman_true_margin,underconfident_fraction
0.00524900489556412,1.1017243330170126,independent_latents,0.0,0.05,2.15420171122125,0.0029923784019148868,0.0032967760989841923,0.003593165292824776,0.004278307667950232,logger2_heavy,1,78,52,78,0.75,0.009734336689076039,0.13760050023513426,0.6794871794871795,0.00030439769706930585,neural,0.17148674110699424,0.25
2.4197168485420076e-16,1.000000000000038,independent_latents,0.0,0.05,,0.0029923784019148868,0.0029923784019150004,,2.220446049250313e-16,logger2_heavy,2,78,,78,,4.440892098500626e-16,1.0,1.0,1.138690281666827e-16,observational,0.9999999999999999,
0.006223436320094385,0.47087971989686855,independent_latents,0.0,0.05,1.8546428434472337,0.0029923784019148868,0.001409050303719121,0.002939039545559599,0.00423276103225434,logger2_heavy,2,78,43,78,0.6744186046511628,0.014408957238089925,0.22655624374171834,0.6282051282051282,-0.0015833280981957655,neural,0.22356124887770454,0.32558139534883723
0.07652421652421623,-20.68852871640616,confounded,0.0,0.1,,0.0029923784019148868,-0.06190790649836971,,0.07555555555555538,logger1_heavy,0,78,,78,,0.07555555555555582,-0.16457749770032393,0.0641025641025641,-0.06490028490028459,observational,0.7196980234954918,
0.044306236435211796,-11.013127362970112,confounded,0.0,0.1,22.82591396294397,0.0029923784019148868,-0.032955444458489615,0.045442009433888944,0.04485455524758719,logger1_heavy,0,78,5,78,1.0,0.06127512487376343,-0.15628014751347616,0.07692307692307693,-0.03594782286040451,neural,-0.04915337826730231,0.0
0.07652421652421623,-20.68852871640616,confounded,0.0,0.1,,0.0029923784019148868,-0.06190790649836971,,0.07555555555555538,logger1_heavy,1,78,,78,,0.07555555555555582,-0.16457749770032393,0.0641025641025641,-0.06490028490028459,observational,0.7196980234954918,
0.049184254552545506,-12.382100444658386,confounded,0.0,0.1,17.700439490808446,0.0029923784019148868,-0.03705192994093647,0.03430152650654098,0.05052566831582617,logger1_heavy,1,78,7,78,1.0,0.06690382833408667,-0.24514434175022534,0.10256410256410256,-0.04004430834285137,neural,-0.1891399739501005,0.0
0.07652421652421623,-20.68852871640616,confounded,0.0,0.1,,0.0029923784019148868,-0.06190790649836971,,0.07555555555555538,logger1_heavy,2,78,,78,,0.07555555555555582,-0.16457749770032393,0.0641025641025641,-0.06490028490028459,observational,0.7196980234954918,
0.036920585832576375,-9.203149935877162,confounded,0.0,0.1,26.031397003574753,0.0029923784019148868,-0.027539307097703195,0.04949634918866269,0.037051313183825485,logger1_heavy,2,78,4,78,1.0,0.05543855479842254,-0.2659918380195228,0.0641025641025641,-0.030531685499618082,neural,-0.26488701172245477,0.0
0.06076923076923082,-16.22324339244028,confounded,0.0,0.1,,0.0029923784019148868,-0.048546083136546694,,0.06000000000000005,logger12_balanced,0,78,,78,,0.0600000000000005,-0.1531149285262465,0.0641025641025641,-0.05153846153846158,observational,0.7196980234954918,
0.03531617639510499,-8.354405483723147,confounded,0.0,0.1,20.27079464924224,0.0029923784019148868,-0.024999542530332437,0.04012219757377271,0.03430028581887479,logger12_balanced,0,78,5,78,1.0,0.04960836670982285,-0.11440188049438697,0.10256410256410256,-0.027991920932247314,neural,0.05517267542583998,0.0
0.06076923076923082,-16.22324339244028,confounded,0.0,0.1,,0.0029923784019148868,-0.048546083136546694,,0.06000000000000005,logger12_balanced,1,78,,78,,0.0600000000000005,-0.1531149285262465,0.0641025641025641,-0.05153846153846158,observational,0.7196980234954918,
0.039638403628739376,-9.721293712864222,confounded,0.0,0.1,15.107638412068427,0.0029923784019148868,-0.02908978934504588,0.02897609570110991,0.03925402525179322,logger12_balanced,1,78,7,78,1.0,0.0577338570373072,-0.280072008605787,0.10256410256410256,-0.03208216774696076,neural,-0.23213495365394096,0.0
0.06076923076923082,-16.22324339244028,confounded,0.0,0.1,,0.0029923784019148868,-0.048546083136546694,,0.06000000000000005,logger12_balanced,2,78,,78,,0.0600000000000005,-0.1531149285262465,0.0641025641025641,-0.05153846153846158,observational,0.7196980234954918,
0.028740334135098963,-6.881597733265644,confounded,0.0,0.1,21.803176910397575,0.0029923784019148868,-0.020592344427690555,0.04113559097175096,0.029098107554427877,logger12_balanced,2,78,4,78,1.0,0.04577735885731021,-0.2518372343500776,0.0641025641025641,-0.02358472282960544,neural,-0.2305416102884457,0.0
0.045014245014244766,-11.757958068474185,confounded,0.0,0.1,,0.0029923784019148868,-0.03518425977472303,,0.04444444444444429,logger2_heavy,0,78,,78,,0.04444444444444473,-0.13348824573264134,0.0641025641025641,-0.03817663817663792,observational,0.7196980234954918,
