setting,lambda_reward,condition,seed,method,calibration_budget,do_mae,top_set_disagreement,mean_regret,selected_rank,calibration_replicates
M5_diverse,0.05,confounded,1,MSCSC_correct_source,64,0.04453199976783969,0.612987012987013,0.0020878477369432797,0.4,5
M5_diverse,0.05,confounded,1,MSCSC_source_shuffle,0,0.03571998501334829,0.8831168831168832,0.005447867060955343,0.0,5
M5_diverse,0.05,confounded,1,MSCSC_source_shuffle,16,0.04443948493014834,0.7064935064935065,0.0032807993684248874,0.2,5
M5_diverse,0.05,confounded,1,MSCSC_source_shuffle,64,0.038994565428999976,0.5012987012987014,0.0016942045344360789,0.2,5
M5_diverse,0.05,confounded,1,pooled_rank0,0,0.0353167988594882,0.8961038961038961,0.005579498848294335,0.0,5
M5_diverse,0.05,confounded,1,pooled_rank0,16,0.04101645236687431,0.7688311688311689,0.003532413147265574,0.0,5
M5_diverse,0.05,confounded,1,pooled_rank0,64,0.038301231016904996,0.6155844155844155,0.0019717437230104486,0.0,5
M5_diverse,0.05,confounded,2,MSCSC_correct_source,0,0.03622289040498429,0.935064935064935,0.005649612451985537,0.0,5
M5_diverse,0.05,confounded,2,MSCSC_correct_source,16,0.04549494106346051,0.4545454545454546,0.0016576371505163852,0.2,5
M5_diverse,0.05,confounded,2,MSCSC_correct_source,64,0.03469871572527278,0.2207792207792208,0.000789866144343241,0.0,5
M5_diverse,0.05,confounded,2,MSCSC_source_shuffle,0,0.03761065821918957,0.935064935064935,0.005696536636687527,0.0,5
M5_diverse,0.05,confounded,2,MSCSC_source_shuffle,16,0.04428194782572506,0.38701298701298703,0.0012961799127650486,0.0,5
M5_diverse,0.05,confounded,2,MSCSC_source_shuffle,64,0.03706297422010414,0.3064935064935065,0.001131825134973489,0.2,5
M5_diverse,0.05,confounded,2,pooled_rank0,0,0.03666503372251651,0.909090909090909,0.005516270013607748,0.0,5
M5_diverse,0.05,confounded,2,pooled_rank0,16,0.043276047892121805,0.4545454545454545,0.0015657520489091587,0.0,5
M5_diverse,0.05,confounded,2,pooled_rank0,64,0.03389199035560182,0.22337662337662337,0.0008323196060638572,0.0,5
M5_diverse,0.05,independent_latents,0,MSCSC_correct_source,0,0.03053799426749379,0.42857142857142855,0.0023201524024642605,0.0,5
M5_diverse,0.05,independent_latents,0,MSCSC_correct_source,16,0.04180255281004526,0.5948051948051948,0.0021212943567339862,0.2,5
M5_diverse,0.05,independent_latents,0,MSCSC_correct_source,64,0.03338903265251011,0.3246753246753247,0.0011500132547279049,0.0,5
M5_diverse,0.05,independent_latents,0,MSCSC_source_shuffle,0,0.031399486547559925,0.4155844155844156,0.0022334190522484095,0.0,5
M5_diverse,0.05,independent_latents,0,MSCSC_source_shuffle,16,0.03734686666911722,0.6025974025974026,0.0021309023417737673,0.0,5
M5_diverse,0.05,independent_latents,0,MSCSC_source_shuffle,64,0.03346797333583906,0.3194805194805195,0.0011327379538438001,0.0,5
M5_diverse,0.05,independent_latents,0,pooled_rank0,0,0.02654230596258831,0.4675324675324675,0.0022409663593442246,0.0,5
M5_diverse,0.05,independent_latents,0,pooled_rank0,16,0.036391972899664476,0.5480519480519479,0.0018005860731587025,0.0,5
M5_diverse,0.05,independent_latents,0,pooled_rank0,64,0.031493540792152795,0.3454545454545455,0.0012105681231453103,0.0,5
M5_diverse,0.05,independent_latents,1,MSCSC_correct_source,0,0.029894416780167948,0.5454545454545454,0.0025834726221383494,0.0,5
M5_diverse,0.05,independent_latents,1,MSCSC_correct_source,16,0.03659776522604404,0.7870129870129869,0.003616379938256079,0.0,5
M5_diverse,0.05,independent_latents,1,MSCSC_correct_source,64,0.03379215488102126,0.6337662337662338,0.00202291591650872,0.0,5
M5_diverse,0.05,independent_latents,1,MSCSC_source_shuffle,0,0.030360706333750386,0.4545454545454545,0.0021117789080018013,0.0,5
M5_diverse,0.05,independent_latents,1,MSCSC_source_shuffle,16,0.04365230333854643,0.6675324675324676,0.0029917732823166684,0.4,5
M5_diverse,0.05,independent_latents,1,MSCSC_source_shuffle,64,0.032925442581565434,0.5480519480519479,0.0018517006074745522,0.0,5
M5_diverse,0.05,independent_latents,1,pooled_rank0,0,0.0262174233445499,0.5324675324675324,0.0027618405538644,0.0,5
M5_diverse,0.05,independent_latents,1,pooled_rank0,16,0.03747709633033823,0.7688311688311688,0.003548745063331812,0.0,5
M5_diverse,0.05,independent_latents,1,pooled_rank0,64,0.03211762179477209,0.6181818181818182,0.001954845656158779,0.0,5
M5_diverse,0.05,independent_latents,2,MSCSC_correct_source,0,0.032154232010214986,0.4155844155844156,0.0017453188889956345,0.0,5
M5_diverse,0.05,independent_latents,2,MSCSC_correct_source,16,0.043241853733783905,0.36883116883116884,0.0011339736869395974,0.0,5
M5_diverse,0.05,independent_latents,2,MSCSC_correct_source,64,0.03515099665514737,0.5064935064935066,0.0017571389413199557,0.2,5
M5_diverse,0.05,independent_latents,2,MSCSC_source_shuffle,0,0.03172150051312932,0.4025974025974026,0.001673503676184138,0.0,5
