setting,lambda_reward,condition,method,calibration_budget,do_mae_mean,do_mae_sd,top_set_disagreement_mean,top_set_disagreement_sd,mean_regret_mean,mean_regret_sd,selected_rank_mean,selected_rank_sd,seed_count
M5_diverse,0.05,independent_latents,pooled_rank0,64,0.03280493799506059,0.0017588378906382973,0.4380952380952381,0.15598118074214323,0.0014507933489969272,0.00043668158669866287,0.0,0.0,3
M5_redundant,0.0,confounded,MSCSC_correct_source,0,0.02730635858969484,0.0022571753412464943,0.44155844155844154,0.04682534123979209,0.0019972719174968664,0.0003262693830205118,0.0,0.0,3
M5_redundant,0.0,confounded,MSCSC_correct_source,16,0.037037360923364286,0.005232613707119516,0.5887445887445888,0.20631509622312008,0.0021586274196663505,0.0010902866978333564,0.26666666666666666,0.11547005383792516,3
M5_redundant,0.0,confounded,MSCSC_correct_source,64,0.030023203418462773,0.001472982719823859,0.4683982683982684,0.19634599888722967,0.0018263242561550683,0.0008315883854499684,0.20000000000000004,0.2,3
M5_redundant,0.0,confounded,MSCSC_source_shuffle,0,0.02745370793303542,0.0014173102254284686,0.45454545454545453,0.0649350649350649,0.001973787362376659,0.0002482442846870785,0.0,0.0,3
M5_redundant,0.0,confounded,MSCSC_source_shuffle,16,0.037545933415503746,0.007008831511107744,0.5246753246753247,0.160724451993818,0.0020065223204035858,0.0010376338988298773,0.26666666666666666,0.11547005383792516,3
M5_redundant,0.0,confounded,MSCSC_source_shuffle,64,0.03137076292123309,0.0016458745947269026,0.48484848484848486,0.21251663823559297,0.0019074823217451978,0.0008762544141145894,0.20000000000000004,0.2,3
M5_redundant,0.0,confounded,pooled_rank0,0,0.02680906262059006,0.0017955413972143561,0.4675324675324675,0.05951397006436153,0.002074389138718974,0.0005229873672137283,0.0,0.0,3
M5_redundant,0.0,confounded,pooled_rank0,16,0.03330953417075552,0.005285556268678184,0.5021645021645021,0.18676631158052945,0.001989579132240325,0.0013940081694807601,0.0,0.0,3
M5_redundant,0.0,confounded,pooled_rank0,64,0.029371825002260932,0.0013154246875592662,0.4848484848484848,0.279680483349531,0.0018470627543545638,0.0010713378686124375,0.0,0.0,3
M5_redundant,0.01,confounded,MSCSC_correct_source,0,0.027507754646058192,0.001404305468822686,0.6190476190476191,0.07828199705638585,0.0031111473923476182,0.0004537421955182714,0.0,0.0,3
M5_redundant,0.01,confounded,MSCSC_correct_source,16,0.03536731218239273,0.004848009284929665,0.6051948051948052,0.17191979993114714,0.0023065137565288704,0.001122547309847874,0.20000000000000004,0.2,3
M5_redundant,0.01,confounded,MSCSC_correct_source,64,0.030584445007770134,0.0002034020057625515,0.49004329004329,0.16833760689754215,0.0018652747567946323,0.0006696299141505187,0.3333333333333333,0.11547005383792516,3
M5_redundant,0.01,confounded,MSCSC_source_shuffle,0,0.02756069442118698,0.0011752188003506718,0.6190476190476191,0.06536653190710608,0.003088847244424691,0.0005002708246321986,0.0,0.0,3
M5_redundant,0.01,confounded,MSCSC_source_shuffle,16,0.035901198157106656,0.004222635466231338,0.4883116883116883,0.21570955529345,0.0019941508685614004,0.001345883612594695,0.3333333333333333,0.30550504633038933,3
M5_redundant,0.01,confounded,MSCSC_source_shuffle,64,0.0318806330834548,0.002142224680769629,0.4761904761904763,0.20427763680389507,0.0018576040075191482,0.0009406686805058242,0.26666666666666666,0.23094010767585033,3
M5_redundant,0.01,confounded,pooled_rank0,0,0.027465049048037718,0.0017234833322142733,0.6233766233766234,0.06872081327440498,0.0032161729582749388,0.0005544342735159856,0.0,0.0,3
M5_redundant,0.01,confounded,pooled_rank0,16,0.03345804638951999,0.004075869656520999,0.5281385281385281,0.18737939094253986,0.0020866966477938154,0.0013578871131773617,0.0,0.0,3
M5_redundant,0.01,confounded,pooled_rank0,64,0.029575745005463668,0.00019145441911459427,0.45194805194805193,0.24069108349180157,0.0016733350061699933,0.0008932758990535774,0.0,0.0,3
M5_redundant,0.05,confounded,MSCSC_correct_source,0,0.033224325323225445,0.0024527618896558532,0.9090909090909091,0.012987012987012991,0.005565009462541797,9.067471157343283e-05,0.0,0.0,3
M5_redundant,0.05,confounded,MSCSC_correct_source,16,0.04302938701108519,0.002888608132486725,0.6086580086580087,0.1451837305753306,0.0023456098872180714,0.0009467370464845946,0.26666666666666666,0.30550504633038933,3
