setting,source_count,lambda_reward,condition,seed,method,calibration_budget,calibration_replicate,selected_rank,do_mae,do_rmse,signed_bias,top_set_disagreement,strict_flip,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,top_1pct_regret_contribution
M2_diverse,2,0.0,confounded,1,MSCSC_source_shuffle,64,0,0,0.029907820448565398,0.04147434643575765,-0.005484347361391795,0.948051948051948,0.948051948051948,0.004088071418583106,0.004088071418583106,0.004312075331930125,0.0067147226869477316,0.014169029059608373,0.04501226753868111
M2_diverse,2,0.0,confounded,1,MSCSC_source_shuffle,16,1,0,0.030192943983225015,0.04201697184976104,-0.010530616465470021,0.5064935064935064,0.5064935064935064,0.0014169458833259028,0.0014169458833259028,0.0027975598209255006,0.0032108324208326893,0.007044185483968679,0.06456345964921242
M2_diverse,2,0.0,confounded,1,MSCSC_source_shuffle,64,1,1,0.032675897862460335,0.048060203448414544,-0.003720249845965826,0.18181818181818182,0.18181818181818182,0.0008838411874796104,0.0008838411874796104,0.004861126531137857,0.002872861329683655,0.013315073235235175,0.19564943507797034
M2_diverse,2,0.0,confounded,1,MSCSC_source_shuffle,16,2,0,0.034292289321024044,0.04470281024246231,0.01803542015625957,0.8181818181818182,0.8181818181818182,0.002522269537624527,0.002522269537624527,0.0030827738793188664,0.006269755787305798,0.0072405946980955704,0.037281383284050396
M2_diverse,2,0.0,confounded,1,MSCSC_source_shuffle,64,2,0,0.030435330440320756,0.041509835122234696,8.84172850475924e-05,0.948051948051948,0.948051948051948,0.004731545878925231,0.004731545878925231,0.0049908086668115454,0.008885638197454982,0.014169029059608373,0.03889074926444482
M2_diverse,2,0.0,confounded,1,MSCSC_source_shuffle,16,3,0,0.028689752784936278,0.039956140123575595,0.0020177692606110484,0.7402597402597403,0.7402597402597403,0.004484177871704452,0.004484177871704452,0.006057573616162154,0.012678941327329609,0.014561894727489477,0.042173955037501286
M2_diverse,2,0.0,confounded,1,MSCSC_source_shuffle,64,3,1,0.035622874449866684,0.050605373585293136,-0.017044305037625135,0.7922077922077922,0.7922077922077922,0.002635672678864105,0.002635672678864105,0.0033269966602055097,0.006257469982287667,0.013315073235235175,0.06560868897557978
M2_diverse,2,0.0,confounded,1,MSCSC_source_shuffle,16,4,0,0.03110625743150264,0.042694635952902106,-0.004700166275031783,0.935064935064935,0.935064935064935,0.005740654176142864,0.005740654176142864,0.006139310716152785,0.012813102826615986,0.014561894727489477,0.032943199527216284
M2_diverse,2,0.0,confounded,1,MSCSC_source_shuffle,64,4,0,0.03066238558555462,0.0424133097516754,-0.010705640017441115,0.961038961038961,0.961038961038961,0.0029077438708017584,0.0029077438708017584,0.003025625379077505,0.006269755787305798,0.0072405946980955704,0.032339057893684575
M2_diverse,2,0.0,confounded,2,pooled_rank0,16,0,0,0.04053705694020804,0.057597575804550695,0.02240529850373359,0.06493506493506493,0.06493506493506493,0.0002157842816600642,0.0002157842816600642,0.003323077937564989,0.0,0.011505416024836235,0.6924553826905978
M2_diverse,2,0.0,confounded,2,pooled_rank0,64,0,0,0.033163511358753645,0.051695496359874825,-0.0013928192904382032,0.06493506493506493,0.06493506493506493,0.0002157842816600642,0.0002157842816600642,0.003323077937564989,0.0,0.011505416024836235,0.6924553826905978
M2_diverse,2,0.0,confounded,2,pooled_rank0,16,1,0,0.03300750578531949,0.05167157235884845,-0.0012869318798216305,0.06493506493506493,0.06493506493506493,0.0002157842816600642,0.0002157842816600642,0.003323077937564989,0.0,0.011505416024836235,0.6924553826905978
M2_diverse,2,0.0,confounded,2,pooled_rank0,64,1,0,0.030540342863945507,0.05022872840392508,-0.003782357845184311,0.33766233766233766,0.33766233766233766,0.0010881226191822029,0.0010881226191822029,0.0032225169875780622,0.002931588351727044,0.011505416024836235,0.13731999013846014
M2_diverse,2,0.0,confounded,2,pooled_rank0,16,2,0,0.03112050954092686,0.05057395690146455,0.0006450791681775071,0.37662337662337664,0.37662337662337664,0.001002607811471949,0.001002607811471949,0.0026620966028737957,0.0026954897522835533,0.011505416024836235,0.1490323390919601
M2_diverse,2,0.0,confounded,2,pooled_rank0,64,2,0,0.03014779282169589,0.049922592721636266,-0.001295273493951606,0.3246753246753247,0.3246753246753247,0.0016573125107896987,0.0016573125107896987,0.005104522533232272,0.005219754935081334,0.013251966247791458,0.10384490350677389
M2_diverse,2,0.0,confounded,2,pooled_rank0,16,3,0,0.038997849695523314,0.05565943829352291,-0.001657948276238084,0.06493506493506493,0.06493506493506493,0.0002157842816600642,0.0002157842816600642,0.003323077937564989,0.0,0.011505416024836235,0.6924553826905978
M2_diverse,2,0.0,confounded,2,pooled_rank0,64,3,0,0.030401671615259664,0.05001926366596751,0.002333240965859273,0.2987012987012987,0.2987012987012987,0.0014550591152207373,0.0014550591152207373,0.0048712848639998595,0.005183042923180103,0.013251966247791458,0.1182793578372359
