kappa,lambda_reward,condition,mixture,seed,method,best_validation_nll,best_validation_step,mae,rmse,signed_bias,top_set_disagreement,mean_regret
0.0,0.0,confounded,logger2_heavy,1,mechanism_separated,-1.275665521621704,3000,0.01122565284119522,0.016657846419442877,0.005767898545189347,0.2750809061488673,0.0009763917679556901
0.0,0.0,confounded,logger2_heavy,1,oracle_u_aware,-1.9318500757217407,3000,0.010263475305181735,0.01648980392153627,0.002053163594280077,0.23624595469255663,0.0007774867520743099
0.0,0.0,confounded,logger2_heavy,1,source_shuffle,-0.992137610912323,3000,0.010006506976032607,0.015978479079352532,-0.0022269582766055026,0.2524271844660194,0.0009241941108259199
0.0,0.0,confounded,logger2_heavy,1,no_behavior,-1.942631721496582,3000,0.009780432606594931,0.01567245205585298,0.0033813966314187992,0.22006472491909385,0.0007274962643700611
0.0,0.0,confounded,logger2_heavy,1,source_dependent_reward,-1.296865463256836,3000,0.010813839579897023,0.015887887344297653,0.004803903896199597,0.20388349514563106,0.0006730235154208661
0.0,0.0,confounded,logger2_heavy,2,pooled_mlp,-1.955053448677063,3000,0.010921316823019587,0.01647296642477172,0.0019534434079507145,0.1650485436893204,0.0005683045692193116
0.0,0.0,confounded,logger2_heavy,2,source_balanced_pooled_mlp,-1.9541925191879272,3000,0.010860888297006576,0.016293533425490277,0.00267547405138817,0.23300970873786409,0.0008703387554489394
0.0,0.0,confounded,logger2_heavy,2,source_conditioned_decoder,-1.9128172397613525,3000,0.010459836530353765,0.01669523790564919,0.002991341304243366,0.1941747572815534,0.0006592274364695825
0.0,0.0,confounded,logger2_heavy,2,per_source_models,-1.9103286266326904,2971,0.009400158564485905,0.013806746733904909,0.003790816123541665,0.1553398058252427,0.0005584200800381647
0.0,0.0,confounded,logger2_heavy,2,mechanism_separated,-1.2957274913787842,3000,0.009937455721719899,0.015250357272086118,-0.00032208984156172494,0.2524271844660194,0.0008953305237225903
0.0,0.0,confounded,logger2_heavy,2,oracle_u_aware,-1.9440650939941406,3000,0.010084318044835373,0.016241150249152743,0.0019020952681424112,0.2168284789644013,0.000743832118092065
0.0,0.0,confounded,logger2_heavy,2,source_shuffle,-0.9646576642990112,3000,0.012039973400454648,0.018034399932158194,0.002493917567230439,0.24271844660194175,0.0008628759413200163
0.0,0.0,confounded,logger2_heavy,2,no_behavior,-1.921863079071045,2971,0.009769402796820646,0.016006684963655825,0.00027627748675479225,0.19093851132686085,0.0006620065055167827
0.0,0.0,confounded,logger2_heavy,2,source_dependent_reward,-1.2797986268997192,2971,0.010643466874051174,0.016489686486959677,0.0006454179695420257,0.2588996763754045,0.0009285940933962474
0.0,0.0,confounded,logger2_heavy,3,pooled_mlp,-1.9088836908340454,3000,0.01235407969482151,0.01684261641237673,-0.005996897594246767,0.2750809061488673,0.000996694279425158
0.0,0.0,confounded,logger2_heavy,3,source_balanced_pooled_mlp,-1.9118130207061768,2971,0.01022026631265773,0.015107165559918426,-0.003218436385369741,0.1941747572815534,0.0007015648012114061
0.0,0.0,confounded,logger2_heavy,3,source_conditioned_decoder,-1.918166160583496,3000,0.012031310276441923,0.016695124057191923,0.00046564942405250015,0.2815533980582524,0.0010589012699486519
0.0,0.0,confounded,logger2_heavy,3,per_source_models,-1.8851394653320312,3000,0.009794872330334221,0.014282410069320363,0.004129925258701538,0.20388349514563106,0.0006466974830842566
0.0,0.0,confounded,logger2_heavy,3,mechanism_separated,-1.2441799640655518,2971,0.010840944264887634,0.015531962068036987,-0.003834887823458872,0.22330097087378642,0.0008118239979098097
0.0,0.0,confounded,logger2_heavy,3,oracle_u_aware,-1.8744620084762573,2971,0.013810437534398305,0.01888889736621514,-0.0071881793829893575,0.24271844660194175,0.0008447209075680105
0.0,0.0,confounded,logger2_heavy,3,source_shuffle,-0.9753676056861877,3000,0.009394322148737212,0.01375033353522211,0.00025641400088748675,0.2297734627831715,0.0007171909110303634
