kappa,lambda_reward,condition,mixture,seed,method,split,scope,observational_nll,mae,rmse,signed_bias,logger_id
0.0,0.0,confounded,logger1_heavy,3,per_source_models,test,source,,0.012593321523349158,0.017253373903578596,-0.003380482470511099,0
0.0,0.0,confounded,logger1_heavy,3,per_source_models,test,source,,0.016667867372991134,0.022718016288980153,0.012165975201387274,1
0.0,0.0,confounded,logger1_heavy,3,per_source_models,test,source,,0.011859515730884276,0.018369644020233118,0.0008186229360264264,2
0.0,0.0,confounded,logger1_heavy,3,mechanism_separated,validation,mixture,-2.2221048521447235,0.013946513253923702,0.021927587342446916,-0.0069417282181853425,
0.0,0.0,confounded,logger1_heavy,3,mechanism_separated,test,mixture,-2.295634241423013,0.01204123734145332,0.017077108063745825,-0.005236617728138116,
0.0,0.0,confounded,logger1_heavy,3,mechanism_separated,test,source,,0.012072784936655265,0.017105549770929755,-0.0052442632525073925,0
0.0,0.0,confounded,logger1_heavy,3,mechanism_separated,test,source,,0.01207277779019304,0.01710555012764017,-0.005244258995656594,1
0.0,0.0,confounded,logger1_heavy,3,mechanism_separated,test,source,,0.011757316131097817,0.01681896814121348,-0.005167812265665446,2
0.0,0.0,confounded,logger1_heavy,3,oracle_u_aware,validation,mixture,-2.247930142209285,0.01087936569232022,0.019093858087390864,0.00047898295485073285,
0.0,0.0,confounded,logger1_heavy,3,oracle_u_aware,test,mixture,-2.284785459943522,0.011241108279235431,0.016329147172218884,0.002096152466413175,
0.0,0.0,confounded,logger1_heavy,3,oracle_u_aware,test,source,,0.011298417731708983,0.016390280514341892,0.0020913329395849884,0
0.0,0.0,confounded,logger1_heavy,3,oracle_u_aware,test,source,,0.011163593535907318,0.016237988610561718,0.0020705306673577265,1
0.0,0.0,confounded,logger1_heavy,3,oracle_u_aware,test,source,,0.010907702372131895,0.015981690158391907,0.002160330480094409,2
0.0,0.0,confounded,logger1_heavy,3,source_shuffle,validation,mixture,-2.2422978276878895,0.012810387902299972,0.020582680462607878,0.0009177096590159814,
0.0,0.0,confounded,logger1_heavy,3,source_shuffle,test,mixture,-2.3111801017916207,0.011178950791453887,0.0156633116015456,0.0021783462085363686,
0.0,0.0,confounded,logger1_heavy,3,source_shuffle,test,source,,0.01119999263291707,0.01567899014848434,0.0021625502181858098,0
0.0,0.0,confounded,logger1_heavy,3,source_shuffle,test,source,,0.01119997322273986,0.01567896532226515,0.0021625817653685275,1
0.0,0.0,confounded,logger1_heavy,3,source_shuffle,test,source,,0.01098959362846233,0.01552151721150915,0.002320478574508873,2
0.0,0.0,confounded,logger1_heavy,3,no_behavior,validation,mixture,-2.252043121195366,0.011458968254713748,0.02033134557346035,-0.002100828838788134,
0.0,0.0,confounded,logger1_heavy,3,no_behavior,test,mixture,-2.330068404918355,0.009735496382283486,0.014656043782008903,-0.0013031363012216725,
0.0,0.0,confounded,logger1_heavy,3,no_behavior,test,source,,0.00975205740789031,0.014663112756221994,-0.0013127192227817969,0
0.0,0.0,confounded,logger1_heavy,3,no_behavior,test,source,,0.009752057407890324,0.014663112756222023,-0.0013127192227817884,1
0.0,0.0,confounded,logger1_heavy,3,no_behavior,test,source,,0.009586447151822008,0.01459226891495954,-0.0012168900071807707,2
0.0,0.0,confounded,logger1_heavy,3,source_dependent_reward,validation,mixture,-2.201080384487219,0.010013137576397216,0.017798671569791372,-0.003956678141713349,
0.0,0.0,confounded,logger1_heavy,3,source_dependent_reward,test,mixture,-2.2173597597157766,0.010271192023193793,0.016279526752823674,-0.0029564554737823608,
0.0,0.0,confounded,logger1_heavy,3,source_dependent_reward,test,source,,0.010412867458770287,0.016512775737126596,-0.0029736208119757286,0
0.0,0.0,confounded,logger1_heavy,3,source_dependent_reward,test,source,,0.010800533201001758,0.016737852575208514,-0.0030472627902669597,1
0.0,0.0,confounded,logger1_heavy,3,source_dependent_reward,test,source,,0.010093497768444875,0.015201828763014036,-0.002728325451750818,2
0.0,0.0,confounded,logger1_heavy,4,pooled_mlp,validation,mixture,-2.247321016698767,0.010026011968531071,0.01763630194946378,-0.002682907583003698,
0.0,0.0,confounded,logger1_heavy,4,pooled_mlp,test,mixture,-2.2734939637766294,0.01017292717664187,0.015368134511100109,-0.002865938224334732,
0.0,0.0,confounded,logger1_heavy,4,pooled_mlp,test,source,,0.01020733633482638,0.015409417538890663,-0.002890241496955076,0
0.0,0.0,confounded,logger1_heavy,4,pooled_mlp,test,source,,0.010207336334826378,0.015409417538890661,-0.0028902414969550726,1
0.0,0.0,confounded,logger1_heavy,4,pooled_mlp,test,source,,0.009863244752981311,0.014991472360039363,-0.002647208770751649,2
0.0,0.0,confounded,logger1_heavy,4,source_balanced_pooled_mlp,validation,mixture,-2.2891862002779453,0.010459719069876314,0.0180044678988533,-0.001250263653006888,
0.0,0.0,confounded,logger1_heavy,4,source_balanced_pooled_mlp,test,mixture,-2.332580523135837,0.009742790298330709,0.014640582248522745,-0.00163279610089888,
0.0,0.0,confounded,logger1_heavy,4,source_balanced_pooled_mlp,test,source,,0.009757936648312501,0.01466237922522118,-0.0016512333326775877,0
0.0,0.0,confounded,logger1_heavy,4,source_balanced_pooled_mlp,test,source,,0.009757936648312504,0.01466237922522119,-0.0016512333326776146,1
