kappa,lambda_reward,condition,mixture,seed,method,action,anchor_id,prediction,mae,rmse,signed_bias
0.0,0.0,confounded,logger1_heavy,3,source_balanced_pooled_mlp,plus,,,0.010154987695964597,0.01473232522758738,-0.0030209828837035736
0.0,0.0,confounded,logger1_heavy,3,source_conditioned_decoder,all,,,0.010593893311861027,0.01522628377793988,0.0013732805956055095
0.0,0.0,confounded,logger1_heavy,3,source_conditioned_decoder,minus,,,0.010705950621833405,0.015358842632127955,0.0004536203671252956
0.0,0.0,confounded,logger1_heavy,3,source_conditioned_decoder,base,,,0.01046637083082758,0.015099286619555462,0.0013235723675460445
0.0,0.0,confounded,logger1_heavy,3,source_conditioned_decoder,plus,,,0.01060935848292209,0.0152196139780583,0.0023426490521451892
0.0,0.0,confounded,logger1_heavy,3,per_source_models,all,,,0.010186096630524926,0.015664803364233693,0.004098757197558661
0.0,0.0,confounded,logger1_heavy,3,per_source_models,minus,,,0.009867144697687543,0.015501353568348399,0.0031961063527980787
0.0,0.0,confounded,logger1_heavy,3,per_source_models,base,,,0.010056252964717812,0.01555303716779487,0.004167405999317962
0.0,0.0,confounded,logger1_heavy,3,per_source_models,plus,,,0.010634892229169426,0.015936413201425383,0.004932759240559943
0.0,0.0,confounded,logger1_heavy,3,mechanism_separated,all,,,0.011967117696129254,0.017009575575148404,-0.005220360452333639
0.0,0.0,confounded,logger1_heavy,3,mechanism_separated,minus,,,0.012385894352960935,0.01723721821750917,-0.005749645617787974
0.0,0.0,confounded,logger1_heavy,3,mechanism_separated,base,,,0.011756306951438308,0.0168171335142351,-0.005170502710936487
0.0,0.0,confounded,logger1_heavy,3,mechanism_separated,plus,,,0.011759151783988517,0.01697172095653284,-0.004740933028276457
0.0,0.0,confounded,logger1_heavy,3,oracle_u_aware,all,,,0.011074044772027492,0.016134336068465423,0.0020865949127642984
0.0,0.0,confounded,logger1_heavy,3,oracle_u_aware,minus,,,0.010975935257285295,0.015929423559058246,0.0010773796803559194
0.0,0.0,confounded,logger1_heavy,3,oracle_u_aware,base,,,0.01090770035221967,0.015981687725261474,0.0021603322768706033
0.0,0.0,confounded,logger1_heavy,3,oracle_u_aware,plus,,,0.01133849870657751,0.016486040265597433,0.0030220727810663724
0.0,0.0,confounded,logger1_heavy,3,source_shuffle,all,,,0.011132272691177093,0.015630497888635415,0.0022183337899564677
0.0,0.0,confounded,logger1_heavy,3,source_shuffle,minus,,,0.011298884157209432,0.01574554877866844,0.0013685598779449297
0.0,0.0,confounded,logger1_heavy,3,source_shuffle,base,,,0.010998428709968571,0.015536117952065196,0.0023325351206002747
