family,subset,metric,action,condition,mixture,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_valid_repetitions,n_all,n_pair_unclipped,clipping_rate,reward_drift_all,reward_drift_clean,delta_drift_all,delta_drift_clean,all_anchors,strict_unclipped_anchors,any_clipping_anchors
action_specific,action_pair_unclipped,delta_7_over_9_identity_residual_l2,base,confounded,heavy_contrast,anchor_id,2000,1001,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_do_error_abs,base,confounded,logger1_heavy,anchor_id,2000,1001,1400,1.3005469717037548e-17,3.8505946196575143e-16,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,6.344131569286609e-19,3.5209930209540676e-17,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_do_error_l2,base,confounded,logger1_heavy,anchor_id,2000,1001,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_do_error_abs,base,confounded,logger12_midpoint,anchor_id,2000,1001,1400,1.3005469717037548e-17,3.8505946196575143e-16,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,6.344131569286609e-19,3.5209930209540676e-17,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_do_error_l2,base,confounded,logger12_midpoint,anchor_id,2000,1001,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_do_error_abs,base,confounded,logger2_heavy,anchor_id,2000,1001,1400,1.3005469717037548e-17,3.8505946196575143e-16,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,6.344131569286609e-19,3.5209930209540676e-17,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_do_error_l2,base,confounded,logger2_heavy,anchor_id,2000,1001,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_u_effect_abs,base,do_oracle,none,anchor_id,2000,1002,648,0.012865319841051567,0.007109457044581534,0.012180063417451592,0.0034139701010377443,0.006583715276817004,0.01924573212507319,0.020609549985833732,0.03162874026948348,0.012295225990842653,0.013427609525517446,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_u_effect_l2,base,do_oracle,none,anchor_id,2000,1002,648,0.7493542202056838,0.12514743117725208,0.7462070699395102,0.514157850184537,0.7223722343300734,0.8153633701038417,0.9133357987448464,0.949462184286455,0.7392417499408089,0.7588271082394809,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_drift,base,confounded,heavy_contrast,anchor_id,2000,1002,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_drift,base,independent_latents,heavy_contrast,anchor_id,2000,1002,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_drift,base,confounded,heavy_contrast,anchor_id,2000,1002,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_drift,base,independent_latents,heavy_contrast,anchor_id,2000,1002,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_7_over_9_identity_residual_abs,base,confounded,heavy_contrast,anchor_id,2000,1002,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_7_over_9_identity_residual_l2,base,confounded,heavy_contrast,anchor_id,2000,1002,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_do_error_abs,base,confounded,logger1_heavy,anchor_id,2000,1002,648,9.183326253072283e-17,2.202340295814038e-15,0.0,0.0,0.0,0.0,0.0,5.595524044110789e-14,0.0,2.700172047545134e-16,,,,,,,,,,,
