kappa,lambda_reward,condition,method,comparator,metric,n_model_seeds,paired_difference_mean,paired_difference_sd,ci95_low,ci95_high,exact_two_sided_sign_flip_p,inferential_unit
0.3,0.0,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.037540453074433655,0.048898380574779354,-0.023165172086105655,0.09824607823497297,0.1875,model_seed
0.3,0.0,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,0.0002987559841625018,0.00023136688956198765,1.152210223811476e-05,0.0005859898660868889,0.0625,model_seed
0.3,0.002,confounded,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,0.005682091148164191,0.013117839825333693,-0.010603247098056346,0.02196742939438473,0.625,model_seed
0.3,0.002,confounded,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.045307443365695796,0.06753604127737609,-0.03853618414138148,0.12915107087277305,0.25,model_seed
0.3,0.002,confounded,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,0.00027905425235110403,0.0002508705244316755,-3.239270848816973e-05,0.0005905012131903778,0.0625,model_seed
0.3,0.002,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.0004162158744933867,0.000575403663978909,-0.0011305593503082231,0.0002981276013214497,0.1875,model_seed
0.3,0.002,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.017475728155339813,0.023066057839748168,-0.011159973982274172,0.046111430292953795,0.25,model_seed
0.3,0.002,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,0.00018241684018920908,0.00012527924824754774,2.6887045641527357e-05,0.0003379466347368908,0.0625,model_seed
0.3,0.005,confounded,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,0.0028655162731476154,0.0073915428754685155,-0.006310825067442297,0.012041857613737529,0.625,model_seed
0.3,0.005,confounded,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.03818770226537217,0.044866088868927824,-0.017511974110032358,0.0938873786407767,0.125,model_seed
0.3,0.005,confounded,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,0.00027467870576790434,0.00021713218272189307,5.116713332443241e-06,0.0005442406982033654,0.0625,model_seed
0.3,0.005,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.00026986311988685675,0.001510578554600981,-0.002145193436213395,0.0016054671964396815,0.75,model_seed
0.3,0.005,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.03236245954692557,0.05914455301778986,-0.04106342948215699,0.10578834857600813,0.375,model_seed
0.3,0.005,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,0.00025153786840024936,0.00024767816905921957,-5.594589516456298e-05,0.0005590216319650617,0.125,model_seed
0.3,0.01,confounded,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,0.0033863353608867023,0.009569200554653065,-0.008493491642145187,0.015266162363918593,0.8125,model_seed
0.3,0.01,confounded,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,-0.012944983818770217,0.05623995856628726,-0.08276492066817581,0.05687495303063538,0.625,model_seed
0.3,0.01,confounded,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,2.0040993028130805e-05,0.00031484224130044205,-0.00037082461152619645,0.000410906597582458,0.9375,model_seed
0.3,0.01,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.0007970258276681696,0.00046132118343366664,-0.0013697399034914655,-0.00022431175184487373,0.0625,model_seed
0.3,0.01,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.03365695792880259,0.04321327607197537,-0.019990809304971005,0.08730472516257619,0.25,model_seed
0.3,0.01,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,0.00024069520127251398,0.00018382935522249824,1.2477501617315064e-05,0.0004689129009277129,0.0625,model_seed
0.3,0.02,confounded,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.0011567468419381999,0.0006823360284701409,-0.00200384309933867,-0.0003096505845377295,0.0625,model_seed
0.3,0.02,confounded,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,-0.034304207119741095,0.03352288456331021,-0.07592169302989736,0.00731327879041517,0.125,model_seed
0.3,0.02,confounded,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,-0.00027049781815757817,0.00019333021919921777,-0.0005105105073501092,-3.0485128965047128e-05,0.0625,model_seed
0.3,0.02,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.0006364064700023975,0.0014566950144099448,-0.0024448422602789868,0.0011720293202741915,0.4375,model_seed
0.3,0.02,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.026537216828478948,0.056490802940051425,-0.04359413451662903,0.09666856817358693,0.3125,model_seed
0.3,0.02,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,0.00019617059116716325,0.0002394998475242816,-0.00010116007293491601,0.0004935012552692425,0.0625,model_seed
0.3,0.05,confounded,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.012436337817589151,0.001380489807622347,-0.014150167515309061,-0.010722508119869242,0.0625,model_seed
0.3,0.05,confounded,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,-0.5262135922330097,0.034750109244132354,-0.5693546345592689,-0.4830725499067504,0.0625,model_seed
0.3,0.05,confounded,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,-0.004895185940718316,0.00018582537093884854,-0.005125881623907265,-0.004664490257529368,0.0625,model_seed
0.3,0.05,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.003648096438006011,0.0018011366301718434,-0.00588414441850955,-0.0014120484575024725,0.0625,model_seed
0.3,0.05,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.012944983818770217,0.04268901604619068,-0.04005193297296737,0.06594190061050781,0.75,model_seed
0.3,0.05,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,1.3962887238364225e-05,0.0001885856988556919,-0.00022015964628530627,0.0002480854207620347,0.875,model_seed
0.3,0.1,confounded,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.03209061940897669,0.0021466022517634396,-0.034755550847044236,-0.02942568797090914,0.0625,model_seed
0.3,0.1,confounded,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,-0.5773462783171521,0.03665682521590711,-0.6228544416750202,-0.531838114959284,0.0625,model_seed
0.3,0.1,confounded,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,-0.005148949973310839,0.0001605682918018054,-0.00534828987823636,-0.0049496100683853175,0.0625,model_seed
0.3,0.1,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.00415866570640186,0.0006551209796606053,-0.004971975434834752,-0.0033453559779689683,0.0625,model_seed
0.3,0.1,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,-0.057605177993527525,0.0488340828736283,-0.11823097981229397,0.003020623825238919,0.125,model_seed
0.3,0.1,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,-0.00036518507651885974,0.00019323684580411807,-0.0006050818459149422,-0.00012528830712277723,0.0625,model_seed
