kappa,lambda_reward,condition,seed,method,validation_nll
0.0,0.02,confounded,3,source_shuffle_initialization,-0.9405080676078796
0.0,0.02,confounded,3,no_staged_training,-1.2848875522613525
0.0,0.02,confounded,4,public_residual_init_nll_best,-1.2738823890686035
0.0,0.02,confounded,4,source_shuffle_initialization,-0.9368124604225159
0.0,0.02,confounded,4,no_staged_training,-1.2810250520706177
0.0,0.02,confounded,-1,public_residual_init_uniform_candidate_ensemble,-1.1748648005723954
0.0,0.02,confounded,0,public_residual_init_uniform_candidate_ensemble,-1.0481538325548172
0.0,0.02,confounded,1,public_residual_init_uniform_candidate_ensemble,-1.2182415187358855
0.0,0.02,confounded,2,public_residual_init_uniform_candidate_ensemble,-1.1925853133201598
0.0,0.02,confounded,3,public_residual_init_uniform_candidate_ensemble,-1.2164542317390443
0.0,0.02,confounded,4,public_residual_init_uniform_candidate_ensemble,-1.1988891065120697
0.0,0.02,confounded,0,pooled_mlp,-1.7352358102798462
0.0,0.02,confounded,0,V0_random_init_mechanism,-1.0971347093582153
0.0,0.02,confounded,0,V7_oracle_u_aware,
0.0,0.02,confounded,0,V1_explicit_collapsed,-1.0517635345458984
0.0,0.02,confounded,0,V6_oracle_initialized_joint,-1.2386863231658936
0.0,0.02,confounded,1,pooled_mlp,-1.7690190076828003
0.0,0.02,confounded,1,V0_random_init_mechanism,-1.1145801544189453
0.0,0.02,confounded,1,V7_oracle_u_aware,
0.0,0.02,confounded,1,V1_explicit_collapsed,-0.890484094619751
0.0,0.02,confounded,1,V6_oracle_initialized_joint,-1.1941885948181152
0.0,0.02,confounded,2,pooled_mlp,-1.7784366607666016
0.0,0.02,confounded,2,V0_random_init_mechanism,-1.0987565517425537
0.0,0.02,confounded,2,V7_oracle_u_aware,
0.0,0.02,confounded,2,V1_explicit_collapsed,-1.011640191078186
0.0,0.02,confounded,2,V6_oracle_initialized_joint,-1.2773454189300537
0.0,0.02,confounded,3,pooled_mlp,-1.7739638090133667
0.0,0.02,confounded,3,V0_random_init_mechanism,-1.1121506690979004
0.0,0.02,confounded,3,V7_oracle_u_aware,
0.0,0.02,confounded,3,V1_explicit_collapsed,-1.0674508810043335
0.0,0.02,confounded,3,V6_oracle_initialized_joint,-1.2993714809417725
0.0,0.02,confounded,4,pooled_mlp,-1.7467238903045654
0.0,0.02,confounded,4,V0_random_init_mechanism,-1.1131943464279175
0.0,0.02,confounded,4,V7_oracle_u_aware,
0.0,0.02,confounded,4,V1_explicit_collapsed,-1.0616800785064697
0.0,0.02,confounded,4,V6_oracle_initialized_joint,-1.1728726625442505
0.0,0.05,confounded,0,public_residual_init_nll_best,-1.065294623374939
0.0,0.05,confounded,0,source_shuffle_initialization,-0.7148035168647766
0.0,0.05,confounded,0,no_staged_training,-1.0158897638320923
0.0,0.05,confounded,1,public_residual_init_nll_best,-1.0445857048034668
0.0,0.05,confounded,1,source_shuffle_initialization,-0.7431259155273438
0.0,0.05,confounded,1,no_staged_training,-1.0354806184768677
0.0,0.05,confounded,2,public_residual_init_nll_best,-1.1401665210723877
0.0,0.05,confounded,2,source_shuffle_initialization,-0.7917512059211731
