kappa,lambda_reward,condition,seed,method,latent_collapse,reward_mode_separation,behavior_separation,posterior_entropy,posterior_u_accuracy
0.0,0.05,confounded,0,public_residual_init_nll_best,False,0.09818880022588257,0.3811229169368744,0.017023766413331032,0.9928802588996763
0.0,0.05,confounded,0,source_shuffle_initialization,False,0.09816332533268407,0.5005569458007812,0.01880425401031971,0.9919093851132686
0.0,0.05,confounded,0,no_staged_training,False,0.0970464108131111,0.3907439708709717,0.04485509544610977,0.9889967637540453
0.0,0.05,confounded,1,public_residual_init_nll_best,False,0.09744426777472595,0.36855530738830566,0.016403306275606155,0.9880258899676375
0.0,0.05,confounded,1,source_shuffle_initialization,False,0.09807950777378911,0.5199212431907654,0.01102299615740776,0.9893203883495145
0.0,0.05,confounded,1,no_staged_training,False,0.09937555744561777,0.39419615268707275,0.038039978593587875,0.9893203883495145
0.0,0.05,confounded,2,public_residual_init_nll_best,False,0.09824473125431467,0.38814836740493774,0.010155691765248775,0.9867313915857605
0.0,0.05,confounded,2,source_shuffle_initialization,False,0.09918941906724507,0.5216796398162842,0.010171557776629925,0.9864077669902913
0.0,0.05,confounded,2,no_staged_training,False,0.09870080450762084,0.39335304498672485,0.054464489221572876,0.9763754045307443
0.0,0.05,confounded,3,public_residual_init_nll_best,False,0.09972352826871202,0.3852119445800781,0.010697553865611553,0.9922330097087378
0.0,0.05,confounded,3,source_shuffle_initialization,False,0.09941484923004258,0.5223197937011719,0.010574281215667725,0.9922330097087378
0.0,0.05,confounded,3,no_staged_training,False,0.09960308331066683,0.3987625241279602,0.04076822102069855,0.9915857605177993
0.0,0.05,confounded,4,public_residual_init_nll_best,False,0.10024282011807881,0.39878183603286743,0.012184098362922668,0.9792880258899677
0.0,0.05,confounded,4,source_shuffle_initialization,False,0.10010380871244827,0.5351455211639404,0.014490162953734398,0.984789644012945
0.0,0.05,confounded,4,no_staged_training,False,0.10015964496037653,0.3908025026321411,0.05230966582894325,0.9792880258899677
0.0,0.05,confounded,-1,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.05,confounded,0,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.05,confounded,1,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.05,confounded,2,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.05,confounded,3,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.05,confounded,4,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.05,confounded,0,pooled_mlp,,,,,
0.0,0.05,confounded,0,V0_random_init_mechanism,True,0.008882335171333515,0.17870643734931946,0.04266202077269554,0.5
0.0,0.05,confounded,0,V7_oracle_u_aware,,,,,1.0
0.0,0.05,confounded,0,V1_explicit_collapsed,,,,,
0.0,0.05,confounded,0,V6_oracle_initialized_joint,False,0.09922926900352583,0.3988654315471649,0.0031706083100289106,0.9944983818770227
0.0,0.05,confounded,1,pooled_mlp,,,,,
0.0,0.05,confounded,1,V0_random_init_mechanism,True,0.009047437543437505,0.1849745362997055,0.03884823992848396,0.5
0.0,0.05,confounded,1,V7_oracle_u_aware,,,,,1.0
0.0,0.05,confounded,1,V1_explicit_collapsed,,,,,
0.0,0.05,confounded,1,V6_oracle_initialized_joint,False,0.09659377072027733,0.39701923727989197,0.011219658888876438,0.988673139158576
0.0,0.05,confounded,2,pooled_mlp,,,,,
0.0,0.05,confounded,2,V0_random_init_mechanism,True,0.008231016712910778,0.1627405285835266,0.03630664199590683,0.5
0.0,0.05,confounded,2,V7_oracle_u_aware,,,,,1.0
0.0,0.05,confounded,2,V1_explicit_collapsed,,,,,
0.0,0.05,confounded,2,V6_oracle_initialized_joint,False,0.10119406884810828,0.39756569266319275,0.002938473131507635,0.9896440129449838
0.0,0.05,confounded,3,pooled_mlp,,,,,
0.0,0.05,confounded,3,V0_random_init_mechanism,True,0.00765408581144896,0.18041257560253143,0.03770996257662773,0.5
0.0,0.05,confounded,3,V7_oracle_u_aware,,,,,1.0
0.0,0.05,confounded,3,V1_explicit_collapsed,,,,,
0.0,0.05,confounded,3,V6_oracle_initialized_joint,False,0.10032919675057742,0.3976913392543793,0.003067569574341178,0.9948220064724919
0.0,0.05,confounded,4,pooled_mlp,,,,,
0.0,0.05,confounded,4,V0_random_init_mechanism,True,0.008410017592786048,0.17527106404304504,0.03682282939553261,0.5
0.0,0.05,confounded,4,V7_oracle_u_aware,,,,,1.0
0.0,0.05,confounded,4,V1_explicit_collapsed,,,,,
0.0,0.05,confounded,4,V6_oracle_initialized_joint,False,0.0994550572260045,0.40019258856773376,0.009536569006741047,0.9896440129449838
0.0,0.1,confounded,0,public_residual_init_nll_best,False,0.19822393595139667,0.39779049158096313,2.98171727308727e-07,1.0
0.0,0.1,confounded,0,source_shuffle_initialization,False,0.19908797514414156,0.539121150970459,7.650342581655423e-08,1.0
0.0,0.1,confounded,0,no_staged_training,False,0.20023642060769664,0.3797251582145691,0.00045551997027359903,1.0
0.0,0.1,confounded,1,public_residual_init_nll_best,False,0.19914110108984157,0.39767226576805115,0.00022024598729331046,0.9990291262135922
0.0,0.1,confounded,1,source_shuffle_initialization,False,0.19838974236738935,0.5396179556846619,0.00023862990201450884,0.9993527508090615
0.0,0.1,confounded,1,no_staged_training,False,0.20042637132329258,0.3814024329185486,0.00047579474630765617,1.0
