kappa,lambda_reward,condition,seed,method,top_set_disagreement,strict_flip,calibration_budget,calibration_replicate
0.0,0.01,confounded,1,public_residual_init_nll_best,0.627831715210356,0.627831715210356,,
0.0,0.01,confounded,1,source_shuffle_initialization,0.6181229773462783,0.6181229773462783,,
0.0,0.01,confounded,1,no_staged_training,0.7313915857605178,0.7313915857605178,,
0.0,0.01,confounded,2,public_residual_init_nll_best,0.5631067961165048,0.5631067961165048,,
0.0,0.01,confounded,2,source_shuffle_initialization,0.656957928802589,0.656957928802589,,
0.0,0.01,confounded,2,no_staged_training,0.6213592233009708,0.6213592233009708,,
0.0,0.01,confounded,3,public_residual_init_nll_best,0.6375404530744336,0.6375404530744336,,
0.0,0.01,confounded,3,source_shuffle_initialization,0.6181229773462783,0.6181229773462783,,
0.0,0.01,confounded,3,no_staged_training,0.6245954692556634,0.6245954692556634,,
0.0,0.01,confounded,4,public_residual_init_nll_best,0.6343042071197411,0.6343042071197411,,
0.0,0.01,confounded,4,source_shuffle_initialization,0.627831715210356,0.627831715210356,,
0.0,0.01,confounded,4,no_staged_training,0.6893203883495146,0.6893203883495146,,
0.0,0.01,confounded,-1,public_residual_init_uniform_candidate_ensemble,0.6245954692556634,0.6245954692556634,,
0.0,0.01,confounded,0,public_residual_init_uniform_candidate_ensemble,0.6537216828478964,0.6537216828478964,,
0.0,0.01,confounded,1,public_residual_init_uniform_candidate_ensemble,0.6245954692556634,0.6245954692556634,,
0.0,0.01,confounded,2,public_residual_init_uniform_candidate_ensemble,0.6213592233009708,0.6213592233009708,,
0.0,0.01,confounded,3,public_residual_init_uniform_candidate_ensemble,0.6310679611650486,0.627831715210356,,
0.0,0.01,confounded,4,public_residual_init_uniform_candidate_ensemble,0.6148867313915858,0.6148867313915858,,
0.0,0.01,confounded,0,pooled_mlp,0.7669902912621359,0.7669902912621359,,
0.0,0.01,confounded,0,V0_random_init_mechanism,0.7087378640776699,0.7087378640776699,,
0.0,0.01,confounded,0,V7_oracle_u_aware,0.13915857605177995,0.13915857605177995,,
0.0,0.01,confounded,0,V1_explicit_collapsed,0.6019417475728155,0.6019417475728155,,
0.0,0.01,confounded,0,V6_oracle_initialized_joint,0.37540453074433655,0.37540453074433655,,
0.0,0.01,confounded,1,pooled_mlp,0.6796116504854369,0.6796116504854369,,
0.0,0.01,confounded,1,V0_random_init_mechanism,0.6763754045307443,0.6763754045307443,,
0.0,0.01,confounded,1,V7_oracle_u_aware,0.255663430420712,0.255663430420712,,
0.0,0.01,confounded,1,V1_explicit_collapsed,0.6796116504854369,0.6796116504854369,,
0.0,0.01,confounded,1,V6_oracle_initialized_joint,0.49514563106796117,0.49514563106796117,,
0.0,0.01,confounded,2,pooled_mlp,0.6472491909385113,0.6472491909385113,,
0.0,0.01,confounded,2,V0_random_init_mechanism,0.7087378640776699,0.7087378640776699,,
0.0,0.01,confounded,2,V7_oracle_u_aware,0.255663430420712,0.255663430420712,,
0.0,0.01,confounded,2,V1_explicit_collapsed,0.6763754045307443,0.6763754045307443,,
0.0,0.01,confounded,2,V6_oracle_initialized_joint,0.42394822006472493,0.42394822006472493,,
0.0,0.01,confounded,3,pooled_mlp,0.6990291262135923,0.6990291262135923,,
0.0,0.01,confounded,3,V0_random_init_mechanism,0.686084142394822,0.686084142394822,,
0.0,0.01,confounded,3,V7_oracle_u_aware,0.24271844660194175,0.24271844660194175,,
0.0,0.01,confounded,3,V1_explicit_collapsed,0.5533980582524272,0.5533980582524272,,
0.0,0.01,confounded,3,V6_oracle_initialized_joint,0.540453074433657,0.540453074433657,,
0.0,0.01,confounded,4,pooled_mlp,0.6925566343042071,0.6925566343042071,,
0.0,0.01,confounded,4,V0_random_init_mechanism,0.6796116504854369,0.6796116504854369,,
0.0,0.01,confounded,4,V7_oracle_u_aware,0.24919093851132687,0.24919093851132687,,
0.0,0.01,confounded,4,V1_explicit_collapsed,0.7022653721682848,0.7022653721682848,,
0.0,0.01,confounded,4,V6_oracle_initialized_joint,0.39805825242718446,0.39805825242718446,,
0.0,0.02,confounded,0,public_residual_init_nll_best,0.8446601941747572,0.8446601941747572,,
0.0,0.02,confounded,0,source_shuffle_initialization,0.86084142394822,0.86084142394822,,
0.0,0.02,confounded,0,no_staged_training,0.883495145631068,0.883495145631068,,
0.0,0.02,confounded,1,public_residual_init_nll_best,0.8220064724919094,0.8220064724919094,,
0.0,0.02,confounded,1,source_shuffle_initialization,0.8705501618122977,0.8705501618122977,,
0.0,0.02,confounded,1,no_staged_training,0.8478964401294499,0.8478964401294499,,
0.0,0.02,confounded,2,public_residual_init_nll_best,0.7864077669902912,0.7864077669902912,,
0.0,0.02,confounded,2,source_shuffle_initialization,0.8122977346278317,0.8122977346278317,,
0.0,0.02,confounded,2,no_staged_training,0.8673139158576052,0.8673139158576052,,
0.0,0.02,confounded,3,public_residual_init_nll_best,0.8381877022653722,0.8381877022653722,,
0.0,0.02,confounded,3,source_shuffle_initialization,0.8478964401294499,0.8478964401294499,,
0.0,0.02,confounded,3,no_staged_training,0.8220064724919094,0.8220064724919094,,
0.0,0.02,confounded,4,public_residual_init_nll_best,0.8478964401294499,0.8478964401294499,,
0.0,0.02,confounded,4,source_shuffle_initialization,0.8478964401294499,0.8478964401294499,,
0.0,0.02,confounded,4,no_staged_training,0.8511326860841424,0.8511326860841424,,
0.0,0.02,confounded,-1,public_residual_init_uniform_candidate_ensemble,0.8640776699029126,0.8640776699029126,,
0.0,0.02,confounded,0,public_residual_init_uniform_candidate_ensemble,0.8252427184466019,0.8252427184466019,,
0.0,0.02,confounded,1,public_residual_init_uniform_candidate_ensemble,0.8543689320388349,0.8543689320388349,,
0.0,0.02,confounded,2,public_residual_init_uniform_candidate_ensemble,0.8284789644012945,0.8284789644012945,,
0.0,0.02,confounded,3,public_residual_init_uniform_candidate_ensemble,0.8349514563106796,0.8349514563106796,,
0.0,0.02,confounded,4,public_residual_init_uniform_candidate_ensemble,0.8155339805825242,0.8155339805825242,,
0.0,0.02,confounded,0,pooled_mlp,0.8964401294498382,0.8964401294498382,,
0.0,0.02,confounded,0,V0_random_init_mechanism,0.8932038834951457,0.8932038834951457,,
0.0,0.02,confounded,0,V7_oracle_u_aware,0.2621359223300971,0.2621359223300971,,
0.0,0.02,confounded,0,V1_explicit_collapsed,0.8802588996763754,0.8802588996763754,,
0.0,0.02,confounded,0,V6_oracle_initialized_joint,0.42718446601941745,0.42718446601941745,,
0.0,0.02,confounded,1,pooled_mlp,0.883495145631068,0.883495145631068,,
0.0,0.02,confounded,1,V0_random_init_mechanism,0.8802588996763754,0.8802588996763754,,
0.0,0.02,confounded,1,V7_oracle_u_aware,0.23300970873786409,0.23300970873786409,,
0.0,0.02,confounded,1,V1_explicit_collapsed,0.8543689320388349,0.8543689320388349,,
0.0,0.02,confounded,1,V6_oracle_initialized_joint,0.5792880258899676,0.5792880258899676,,
0.0,0.02,confounded,2,pooled_mlp,0.8770226537216829,0.8770226537216829,,
0.0,0.02,confounded,2,V0_random_init_mechanism,0.8867313915857605,0.8867313915857605,,
0.0,0.02,confounded,2,V7_oracle_u_aware,0.23300970873786409,0.23300970873786409,,
0.0,0.02,confounded,2,V1_explicit_collapsed,0.8705501618122977,0.8705501618122977,,
0.0,0.02,confounded,2,V6_oracle_initialized_joint,0.32362459546925565,0.32362459546925565,,
0.0,0.02,confounded,3,pooled_mlp,0.9029126213592233,0.9029126213592233,,
0.0,0.02,confounded,3,V0_random_init_mechanism,0.889967637540453,0.889967637540453,,
0.0,0.02,confounded,3,V7_oracle_u_aware,0.1941747572815534,0.1941747572815534,,
0.0,0.02,confounded,3,V1_explicit_collapsed,0.8867313915857605,0.8867313915857605,,
0.0,0.02,confounded,3,V6_oracle_initialized_joint,0.5145631067961165,0.5145631067961165,,
0.0,0.02,confounded,4,pooled_mlp,0.8802588996763754,0.8802588996763754,,
0.0,0.02,confounded,4,V0_random_init_mechanism,0.8673139158576052,0.8673139158576052,,
0.0,0.02,confounded,4,V7_oracle_u_aware,0.2168284789644013,0.2168284789644013,,
0.0,0.02,confounded,4,V1_explicit_collapsed,0.883495145631068,0.883495145631068,,
0.0,0.02,confounded,4,V6_oracle_initialized_joint,0.5016181229773463,0.5016181229773463,,
0.0,0.05,confounded,0,public_residual_init_nll_best,0.2977346278317152,0.2977346278317152,,
0.0,0.05,confounded,0,source_shuffle_initialization,0.32038834951456313,0.32038834951456313,,
0.0,0.05,confounded,0,no_staged_training,0.255663430420712,0.255663430420712,,
0.0,0.05,confounded,1,public_residual_init_nll_best,0.3656957928802589,0.3656957928802589,,
0.0,0.05,confounded,1,source_shuffle_initialization,0.3559870550161812,0.3559870550161812,,
0.0,0.05,confounded,1,no_staged_training,0.2459546925566343,0.2459546925566343,,
0.0,0.05,confounded,2,public_residual_init_nll_best,0.3074433656957929,0.3042071197411003,,
0.0,0.05,confounded,2,source_shuffle_initialization,0.3268608414239482,0.3268608414239482,,
0.0,0.05,confounded,2,no_staged_training,0.3074433656957929,0.3074433656957929,,
0.0,0.05,confounded,3,public_residual_init_nll_best,0.27184466019417475,0.27184466019417475,,
0.0,0.05,confounded,3,source_shuffle_initialization,0.2750809061488673,0.2750809061488673,,
0.0,0.05,confounded,3,no_staged_training,0.23948220064724918,0.23948220064724918,,
0.0,0.05,confounded,4,public_residual_init_nll_best,0.284789644012945,0.284789644012945,,
0.0,0.05,confounded,4,source_shuffle_initialization,0.2815533980582524,0.2815533980582524,,
0.0,0.05,confounded,4,no_staged_training,0.31715210355987056,0.31715210355987056,,
