kappa,lambda_reward,condition,seed,method,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,calibration_budget,calibration_replicate
0.0,0.01,confounded,-1,public_residual_init_uniform_candidate_ensemble,0.0033262395418202375,0.0033262395418202375,0.005325430147266598,0.007294944670099301,0.014977983325449529,,
0.0,0.01,confounded,0,public_residual_init_uniform_candidate_ensemble,0.0037158734922377703,0.0037158734922377703,0.005684182718324114,0.008283915925582173,0.014961950454980055,,
0.0,0.01,confounded,1,public_residual_init_uniform_candidate_ensemble,0.003536889325984653,0.003536889325984653,0.005662688091861439,0.00865911853566139,0.016470852737632935,,
0.0,0.01,confounded,2,public_residual_init_uniform_candidate_ensemble,0.003301469249558684,0.003301469249558684,0.005313302073508507,0.00732034164660762,0.014901087993193673,,
0.0,0.01,confounded,3,public_residual_init_uniform_candidate_ensemble,0.0035345621189037083,0.0035512824670415597,0.005629792240934257,0.008168085385766499,0.014977983325449529,,
0.0,0.01,confounded,4,public_residual_init_uniform_candidate_ensemble,0.003450223096100865,0.003450223096100865,0.005611152298395618,0.007563025714567129,0.014977983325449529,,
0.0,0.01,confounded,0,pooled_mlp,0.004696933580357221,0.004696933580357221,0.006123850111098656,0.012362169213277685,0.014977983325449529,,
0.0,0.01,confounded,0,V0_random_init_mechanism,0.003943203876351595,0.003943203876351595,0.00556369862005773,0.007941685799512658,0.015715033001301393,,
0.0,0.01,confounded,0,V7_oracle_u_aware,0.0004558019409050405,0.0004558019409050405,0.0032754139474338957,0.0021562114793508332,0.010482394787229232,,
0.0,0.01,confounded,0,V1_explicit_collapsed,0.003324554628734056,0.003324554628734056,0.005523050431606578,0.007628309728509294,0.015054098040339525,,
0.0,0.01,confounded,0,V6_oracle_initialized_joint,0.0016314279339725358,0.0016314279339725358,0.0043457864792889106,0.005283444596488261,0.014957867511653955,,
0.0,0.01,confounded,1,pooled_mlp,0.003969720359144235,0.003969720359144235,0.0058411599570265165,0.011494010986238565,0.014961950454980055,,
0.0,0.01,confounded,1,V0_random_init_mechanism,0.003798562825697712,0.003798562825697712,0.0056160570006726935,0.00780821138260066,0.016470852737632935,,
0.0,0.01,confounded,1,V7_oracle_u_aware,0.0008866278944978586,0.0008866278944978586,0.0034679496126561807,0.0036840399972851044,0.013251966247791458,,
0.0,0.01,confounded,1,V1_explicit_collapsed,0.004015559019816013,0.004015559019816013,0.00590860827201499,0.011706610370184296,0.015715033001301393,,
0.0,0.01,confounded,1,V6_oracle_initialized_joint,0.002433747799568272,0.002433747799568272,0.004915216144226118,0.006382304374604785,0.014126174632168809,,
0.0,0.01,confounded,2,pooled_mlp,0.00343329843353926,0.00343329843353926,0.005304446079818157,0.007507725386799446,0.014977983325449529,,
0.0,0.01,confounded,2,V0_random_init_mechanism,0.003943277738017673,0.003943277738017673,0.005563802835833156,0.00793987656866361,0.016509085332296447,,
0.0,0.01,confounded,2,V7_oracle_u_aware,0.0009608169361132904,0.0009608169361132904,0.0037581320665697054,0.0038466363840645268,0.01417503823033428,,
0.0,0.01,confounded,2,V1_explicit_collapsed,0.003785010433720357,0.003785010433720357,0.005596020210620049,0.011494010986238565,0.014961950454980055,,
0.0,0.01,confounded,2,V6_oracle_initialized_joint,0.0019700172741058826,0.0019700172741058826,0.004646834638921509,0.005873109478091275,0.014334114235150075,,
0.0,0.01,confounded,3,pooled_mlp,0.003919819745879734,0.003919819745879734,0.005607519914244619,0.008499908441277347,0.015715033001301393,,
0.0,0.01,confounded,3,V0_random_init_mechanism,0.004036589392056119,0.004036589392056119,0.005883519444081795,0.01210105363930971,0.016509085332296447,,
