family,kappa,condition,action,mixture,metric,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,bootstrap_valid_repetitions,subset
confounding_excess,0.0,confounded_minus_independent,plus,logger1_heavy_vs_logger2_heavy,reward_heavy_drift_excess,2048,-7.589415207398531e-18,3.230583956754126e-16,0.0,-4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,2.220446049250313e-15,-2.1143297616182942e-17,6.667843360785852e-18,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,all,logger1_heavy_vs_logger2_heavy,reward_heavy_drift_excess,2048,-1.4094628242311556e-18,1.621184859684725e-16,0.0,-1.4802973661668753e-16,-1.4802973661668753e-16,1.4802973661668753e-16,1.4802973661668753e-16,2.6645352591003757e-15,-8.1328715463569e-18,5.765245052191669e-18,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,minus,logger1_heavy_vs_logger2_heavy,delta_heavy_drift_excess,2048,-1.4346347547633402e-16,2.700107618504468e-16,-7.956497523357982e-17,-4.4212347206629033e-16,-2.0814857766464622e-16,-1.0218101952260066e-17,4.2881548786765e-17,9.016663146833084e-16,-1.5547146741350534e-16,-1.3168420061031514e-16,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,base,logger1_heavy_vs_logger2_heavy,delta_heavy_drift_excess,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,plus,logger1_heavy_vs_logger2_heavy,delta_heavy_drift_excess,2048,-1.1230169377697688e-16,2.613773316857186e-16,-4.9793780317110795e-17,-3.584057491300517e-16,-1.7329190597204257e-16,-4.167065975709615e-19,6.851322841665053e-17,8.712017884604035e-16,-1.2356794370677575e-16,-1.0083184248356903e-16,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,all,logger1_heavy_vs_logger2_heavy,delta_heavy_drift_excess,2048,-8.52550564177703e-17,1.365568861379846e-16,-4.927489807127237e-17,-2.373433257522623e-16,-1.1731093738459964e-16,-1.420200564605519e-17,1.5081218478374485e-17,4.995717372223951e-16,-9.134090346467386e-17,-7.902754109166053e-17,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,minus,logger12_balanced,reward_balanced_do_error_excess,2048,-1.511919929531036e-16,4.537659873750925e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,1.6431300764452317e-14,-1.6713112014135612e-16,-1.29127123490308e-16,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,base,logger12_balanced,reward_balanced_do_error_excess,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,plus,logger12_balanced,reward_balanced_do_error_excess,2048,1.7092447249233977e-16,3.068689668108194e-16,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9968028886505635e-15,1.579099806643669e-16,1.8480361555286982e-16,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,all,logger12_balanced,reward_balanced_do_error_excess,2048,6.577493179745393e-18,1.7745560380098638e-16,0.0,-1.4802973661668753e-16,-4.625929269271485e-17,1.4802973661668753e-16,1.4802973661668753e-16,5.329070518200751e-15,-3.261641535560564e-19,1.4835499726843317e-17,anchor_id,2000,0,,
