family,kappa,condition,action,mixture,metric,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,numerator_mean,denominator_mean,pointwise_ratios_computed
do_error,0.0,confounded,base,logger12_midpoint,reward_do_error_signed,2048,0.0,8.696532577489456e-17,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,-4.445228907190568e-18,3.144186300207963e-18,anchor_id,2000,0,,,
do_error,0.0,confounded,base,logger12_midpoint,reward_do_error_abs,2048,3.686287386450715e-18,8.688712524926839e-17,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,8.673617379884035e-19,8.025806581823932e-18,anchor_id,2000,0,,,
do_error,0.0,confounded,base,logger12_midpoint,delta_do_error_l2,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,base,logger12_midpoint,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,plus,logger12_midpoint,reward_do_error_signed,2048,1.0993810029003015e-16,4.911892232528832e-15,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-13,-6.5052130349130266e-18,3.3307232839840936e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,plus,logger12_midpoint,reward_do_error_abs,2048,1.1861171766991419e-16,4.9116903385580876e-15,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-13,3.469446951953614e-18,3.426241495380066e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,plus,logger12_midpoint,delta_do_error_l2,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,plus,logger12_midpoint,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger12_midpoint,reward_do_error_signed,2048,3.1080462277917796e-17,1.6511072602465283e-15,0.0,0.0,0.0,0.0,0.0,7.401486830834377e-14,-1.2287624621502383e-17,1.0918186927472152e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger12_midpoint,reward_do_error_abs,2048,4.7343494865200356e-17,1.650824553128898e-15,0.0,0.0,0.0,0.0,0.0,7.401486830834377e-14,4.805726129541998e-18,1.277714190237958e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger12_midpoint,delta_do_error_l2,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger12_midpoint,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger2_heavy,reward_do_error_signed,2048,-1.8127860323957634e-16,6.793178643306018e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,3.1086244689504383e-15,-2.158172186968177e-16,-1.5845479225604089e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger2_heavy,reward_do_error_abs,2048,1.8561541192951836e-16,6.781451425303984e-16,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,2.7977620220553945e-14,1.6349633235809846e-16,2.1987755583277589e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger2_heavy,delta_do_error_l2,2048,1.0035617535612254e-16,1.4826936903458577e-16,5.556618191635903e-17,1.791395985745431e-18,1.218989618519634e-17,1.138057341658778e-16,2.289117002456878e-16,9.222286645778768e-16,9.394148691401678e-17,1.066154010445615e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger2_heavy,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,base,logger2_heavy,reward_do_error_signed,2048,0.0,8.696532577489456e-17,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,-4.445228907190568e-18,3.144186300207963e-18,anchor_id,2000,0,,,
do_error,0.0,confounded,base,logger2_heavy,reward_do_error_abs,2048,3.686287386450715e-18,8.688712524926839e-17,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,8.673617379884035e-19,8.025806581823932e-18,anchor_id,2000,0,,,
do_error,0.0,confounded,base,logger2_heavy,delta_do_error_l2,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,base,logger2_heavy,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,plus,logger2_heavy,reward_do_error_signed,2048,-5.198749417067994e-17,4.920381665602722e-15,0.0,-4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,2.220446049250313e-13,-1.7114266817955249e-16,1.7499294114459161e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,plus,logger2_heavy,reward_do_error_abs,2048,2.8075415256512137e-16,4.91263659905207e-15,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-13,1.623592753297043e-16,5.072453416500588e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,plus,logger2_heavy,delta_do_error_l2,2048,9.8776800481388e-17,1.463427736751746e-16,5.554529005752625e-17,1.7972819585492244e-18,1.3877787807814457e-17,1.1445231709044298e-16,2.242025235105681e-16,9.424642647609475e-16,9.249510786837526e-17,1.0539929969303047e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,plus,logger2_heavy,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger2_heavy,reward_do_error_signed,2048,-7.775536580341876e-17,1.6573690384212822e-15,-1.4802973661668753e-16,-2.9605947323337506e-16,-1.4802973661668753e-16,0.0,0.0,7.401486830834377e-14,-1.2242494706072672e-16,1.7943545954635064e-18,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger2_heavy,reward_do_error_abs,2048,1.5668528396036347e-16,1.6522150484727528e-15,1.4802973661668753e-16,0.0,0.0,1.4802973661668753e-16,2.9605947323337506e-16,7.401486830834377e-14,1.1297341462208434e-16,2.3738109640574385e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger2_heavy,delta_do_error_l2,2048,6.637765861250351e-17,7.688538214707142e-17,4.192448055546358e-17,6.975608866524694e-18,1.923445882051814e-17,8.091460034515873e-17,1.5286835598781883e-16,6.014007327305697e-16,6.312903030615684e-17,6.963681079458075e-17,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger2_heavy,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
action_ranking,0.0,confounded,all,logger1_heavy_vs_logger2_heavy,top_set_different,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
action_ranking,0.0,confounded,all,logger1_heavy_vs_logger2_heavy,strict_flip,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
action_ranking,0.0,confounded,all,logger1_heavy,top_set_differs_from_do,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
action_ranking,0.0,confounded,minus,logger1_heavy,fraction_action_in_top_set,2048,0.91162109375,0.28391448409481096,1.0,1.0,1.0,1.0,1.0,1.0,0.8994140625,0.9233520507812499,anchor_id,2000,0,,,
action_ranking,0.0,confounded,base,logger1_heavy,fraction_action_in_top_set,2048,0.00537109375,0.07310851451341079,0.0,0.0,0.0,0.0,0.0,1.0,0.00244140625,0.0087890625,anchor_id,2000,0,,,
action_ranking,0.0,confounded,plus,logger1_heavy,fraction_action_in_top_set,2048,0.0830078125,0.27596141120871737,0.0,0.0,0.0,0.0,0.0,1.0,0.0712890625,0.0947265625,anchor_id,2000,0,,,
action_ranking,0.0,confounded,all,logger12_midpoint,top_set_differs_from_do,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
action_ranking,0.0,confounded,minus,logger12_midpoint,fraction_action_in_top_set,2048,0.91162109375,0.28391448409481096,1.0,1.0,1.0,1.0,1.0,1.0,0.8994140625,0.9233520507812499,anchor_id,2000,0,,,
action_ranking,0.0,confounded,base,logger12_midpoint,fraction_action_in_top_set,2048,0.00537109375,0.07310851451341079,0.0,0.0,0.0,0.0,0.0,1.0,0.00244140625,0.0087890625,anchor_id,2000,0,,,
action_ranking,0.0,confounded,plus,logger12_midpoint,fraction_action_in_top_set,2048,0.0830078125,0.27596141120871737,0.0,0.0,0.0,0.0,0.0,1.0,0.0712890625,0.0947265625,anchor_id,2000,0,,,
action_ranking,0.0,confounded,all,logger2_heavy,top_set_differs_from_do,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
