variant,epoch,candidate_statistic,selected_diagnostic,error_scope,bellman_error_mean,count,mean,std,min,p50,p90,p95,p99,max,selected_transition_error_mean,all_transition_error_mean,selected_reward_error_mean,all_reward_error_mean,selected_value_extrapolation_error_mean,all_value_extrapolation_error_mean,selected_bellman_error_mean,all_bellman_error_mean,selected_bellman_abs_error_mean,all_bellman_abs_error_mean,selected_positive_bellman_error_mean,all_positive_bellman_error_mean,selected_observed_weight_mean,all_observed_weight_mean,spearman_model_backup_vs_bellman_error
matched_moving_target,150,candidate_max,not_applicable,not_applicable,0.0,51,551.1835436358961,115.57405374914607,308.6057576757619,570.7972450805942,693.2114925392943,700.3806440568235,780.1930108811001,836.8664392583371,,,,,,,,,,,,,,,
matched_moving_target,150,not_applicable,negative_behavior_log_density,not_applicable,0.0,51,2.6425235622069416,2.238676690835046,-1.4326508045196533,2.513155221939087,5.325558185577393,5.712054252624512,9.551609516143799,12.351625442504883,,,,,,,,,,,,,,,
matched_moving_target,150,not_applicable,standardized_nearest_train_distance,not_applicable,0.0,51,1.011538566656205,0.4523682116683694,0.17621811104118335,0.9504757177715144,1.4628171211258898,1.8193933357382082,2.5168058497572723,2.9535628762546438,,,,,,,,,,,,,,,
matched_moving_target,150,not_applicable,not_applicable,all_candidates,27.843080015513127,,0.0,,,,,,,,0.7564606518239834,0.7268176305992194,-0.0018127565344437304,-0.007424314159551761,6.2194560929840685,4.318672831986799,35.97877486806566,27.843080015513127,42.82183794222892,33.670041761903576,39.40030640514729,30.756560888708346,0.220235675573349,0.4702308177947998,0.09986315700986145
matched_moving_target,150,not_applicable,not_applicable,max_selected,35.97877486806566,,0.0,,,,,,,,0.7564606518239834,0.7268176305992194,-0.0018127565344437304,-0.007424314159551761,6.2194560929840685,4.318672831986799,35.97877486806566,27.843080015513127,42.82183794222892,33.670041761903576,39.40030640514729,30.756560888708346,0.220235675573349,0.4702308177947998,0.09986315700986145
matched_moving_target,200,candidate_mean,not_applicable,not_applicable,0.0,51,2743.5032256761106,750.8479049767305,1251.0633241540195,2835.5499922212707,3613.6474537516137,3730.079214291856,4361.966119555707,4755.004300685321,,,,,,,,,,,,,,,
matched_moving_target,200,candidate_p95,not_applicable,not_applicable,0.0,51,2877.345028736534,767.4963237855904,1331.882395443517,2996.321212145628,3718.1445867593106,3848.98194123108,4476.4213764833885,4884.570979703989,,,,,,,,,,,,,,,
matched_moving_target,200,candidate_max,not_applicable,not_applicable,0.0,51,2926.5982030995315,772.4942348781055,1345.4622258536745,3086.8359525494816,3785.720647821861,3896.4529837915707,4507.748357567449,4921.333621518484,,,,,,,,,,,,,,,
matched_moving_target,200,not_applicable,negative_behavior_log_density,not_applicable,0.0,51,2.5701405768300973,2.2334806592228893,-1.4326508045196533,2.513155221939087,5.325558185577393,5.69311785697937,9.551609516143799,12.351625442504883,,,,,,,,,,,,,,,
matched_moving_target,200,not_applicable,standardized_nearest_train_distance,not_applicable,0.0,51,1.0294741335297644,0.4755537048592291,0.17621811104118335,0.9469198573055566,1.4628171211258898,1.820315768814862,2.6649171030579977,3.249785382856094,,,,,,,,,,,,,,,
matched_moving_target,200,not_applicable,not_applicable,all_candidates,187.13018340801298,,0.0,,,,,,,,0.7851800736999109,0.7268176305992194,-0.003197965142809606,-0.007424314159551761,62.46196312997856,39.61606305119704,222.53502089127198,187.13018340801298,274.5052677295249,229.32244112315053,248.52014431039845,208.2263122655818,0.237842857837677,0.4702308177947998,0.1316171453852603
matched_moving_target,200,not_applicable,not_applicable,max_selected,222.53502089127198,,0.0,,,,,,,,0.7851800736999109,0.7268176305992194,-0.003197965142809606,-0.007424314159551761,62.46196312997856,39.61606305119704,222.53502089127198,187.13018340801298,274.5052677295249,229.32244112315053,248.52014431039845,208.2263122655818,0.237842857837677,0.4702308177947998,0.1316171453852603
frozen_outer_target,0,candidate_mean,not_applicable,not_applicable,0.0,51,4.259386193901346,0.4657757137963217,3.1165932805400325,4.310598360708567,4.767963227345052,5.147471731041039,5.2237254205684085,5.261139015915812,,,,,,,,,,,,,,,
frozen_outer_target,0,candidate_p95,not_applicable,not_applicable,0.0,51,5.193247377102787,0.38266806292296823,3.5205397211659255,5.278586176529369,5.5160283668947505,5.523262212773637,5.542740940461503,5.546571624268413,,,,,,,,,,,,,,,
frozen_outer_target,0,candidate_max,not_applicable,not_applicable,0.0,51,5.413923624218957,0.19553029836618646,4.591095882325242,5.508399488942777,5.541715575124357,5.545372982696981,5.546589251151133,5.546590591905637,,,,,,,,,,,,,,,
frozen_outer_target,0,not_applicable,negative_behavior_log_density,not_applicable,0.0,51,4.798530501477859,2.6204184497305025,0.8848532438278198,4.312170028686523,6.751593589782715,8.29267430305481,14.941702365875244,16.169353485107422,,,,,,,,,,,,,,,
frozen_outer_target,0,not_applicable,standardized_nearest_train_distance,not_applicable,0.0,51,1.0251712056349744,0.47453799258286994,0.37404399280927214,0.9620761964598072,1.5199666062997133,1.5873224397948515,2.656097128850436,3.249785382856094,,,,,,,,,,,,,,,
frozen_outer_target,0,not_applicable,not_applicable,all_candidates,1.4198842757101298,,0.0,,,,,,,,0.7842520382722128,0.7268176305992194,-0.00179326385558556,-0.007424314159551761,1.7783883233138016e-09,6.746558331276261e-10,2.5795728476002426,1.4198842757101298,2.5795728476002426,1.4201518684490333,2.5795728476002426,1.4200180720795814,0.04618019610643387,0.4702308177947998,0.16186738026162126
frozen_outer_target,0,not_applicable,not_applicable,max_selected,2.5795728476002426,,0.0,,,,,,,,0.7842520382722128,0.7268176305992194,-0.00179326385558556,-0.007424314159551761,1.7783883233138016e-09,6.746558331276261e-10,2.5795728476002426,1.4198842757101298,2.5795728476002426,1.4201518684490333,2.5795728476002426,1.4200180720795814,0.04618019610643387,0.4702308177947998,0.16186738026162126
frozen_outer_target,50,candidate_mean,not_applicable,not_applicable,0.0,51,63.69819097667359,4.941755296401822,54.70810942368349,63.34443549263248,69.79029427530685,71.7540559118354,77.98519464085473,81.37567920699841,,,,,,,,,,,,,,,
frozen_outer_target,50,candidate_p95,not_applicable,not_applicable,0.0,51,65.12093105624562,4.895953827300368,55.902934229344744,64.75105147932577,71.26553394725691,73.00963923295447,78.69224169861369,82.15431620265703,,,,,,,,,,,,,,,
frozen_outer_target,50,candidate_max,not_applicable,not_applicable,0.0,51,65.57362737948934,4.881758963618958,56.07693351384213,65.25893644785282,72.07196948435663,73.96879198855629,78.87127852766794,82.4243664863339,,,,,,,,,,,,,,,
frozen_outer_target,50,not_applicable,negative_behavior_log_density,not_applicable,0.0,51,4.099857910006654,2.372806771299787,0.17574596405029297,3.746742010116577,6.001605987548828,7.783466815948486,13.032838344573975,13.714051246643066,,,,,,,,,,,,,,,
frozen_outer_target,50,not_applicable,standardized_nearest_train_distance,not_applicable,0.0,51,1.021927600200206,0.4484139089368497,0.37404399280927214,0.927057945596974,1.4628171211258898,1.6105839898369587,2.5079858755497106,2.9535628762546438,,,,,,,,,,,,,,,
frozen_outer_target,50,not_applicable,not_applicable,all_candidates,2.34580666711978,,0.0,,,,,,,,0.7927386946229075,0.7268176305992194,-0.0024260190930613258,-0.007424314159551761,0.21068774952607996,0.2554931627268217,3.630093222426588,2.34580666711978,3.635257110996583,2.378451639683117,3.6326751667115857,2.3621291534014484,0.07761194556951523,0.4702308177947998,0.056395530328905784
frozen_outer_target,50,not_applicable,not_applicable,max_selected,3.630093222426588,,0.0,,,,,,,,0.7927386946229075,0.7268176305992194,-0.0024260190930613258,-0.007424314159551761,0.21068774952607996,0.2554931627268217,3.630093222426588,2.34580666711978,3.635257110996583,2.378451639683117,3.6326751667115857,2.3621291534014484,0.07761194556951523,0.4702308177947998,0.056395530328905784
frozen_outer_target,100,candidate_mean,not_applicable,not_applicable,0.0,51,153.56629112004603,24.142412607411508,120.77212786372719,156.82223861615066,174.80797357131775,184.9215459157952,229.45344081855797,237.33718318239787,,,,,,,,,,,,,,,
frozen_outer_target,100,candidate_p95,not_applicable,not_applicable,0.0,51,156.6142100078327,24.200938867952487,123.70999451410528,160.2561344113287,178.74581762571955,187.8329442922158,231.04516591105903,238.7746983170222,,,,,,,,,,,,,,,
frozen_outer_target,100,candidate_max,not_applicable,not_applicable,0.0,51,157.56323076665345,24.211105640773386,123.97863795452238,162.04977885333344,180.48874820745783,189.88412414417056,231.62784588617092,239.40016337450146,,,,,,,,,,,,,,,
