kappa,lambda_reward,condition,mixture,seed,variant,do_mae,do_rmse,rank_error,strict_flip,mean_regret,worst_tie_mean_regret
0.0,0.0,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,0.012055513032551745,0.016600932267502158,0.22653721682847897,0.22653721682847897,0.0008705582774918095,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,oracle_compatible_plugin,0.012055513032551745,0.016600932267502158,0.22653721682847897,0.22653721682847897,0.0008705582774918095,0.0008705582774918095
0.0,0.0,confounded,logger12_balanced,3,oracle_initialized_joint,0.010017687080988467,0.014706377443378445,0.21359223300970873,0.21359223300970873,0.0007574458537274796,0.0007574458537274796
0.0,0.0,confounded,logger12_balanced,3,oracle_u_aware_ceiling,0.009358600586442343,0.014452690512122309,0.23300970873786409,0.23300970873786409,0.0007736808088645987,0.0007736808088645987
0.0,0.0,confounded,logger12_balanced,4,current_random_init,0.012454661368536556,0.01905376148511781,0.20064724919093851,0.20064724919093851,0.0006843114395387468,0.0006843114395387468
0.0,0.0,confounded,logger12_balanced,4,collapsed_constrained_reference,0.013231443963285523,0.01862487766405545,0.28802588996763756,0.28802588996763756,0.0011634237026874128,0.0011634237026874128
0.0,0.0,confounded,logger12_balanced,4,true_behavior_fixed,0.013378392967879049,0.019202197941576297,0.37216828478964403,0.37216828478964403,0.001523234699367154,0.001523234699367154
0.0,0.0,confounded,logger12_balanced,4,true_behavior_fixed_em,0.012609883402845887,0.017694102446953013,0.3106796116504854,0.3106796116504854,0.0011884420161176537,0.0011884420161176537
0.0,0.0,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,0.012740209270473484,0.01913005207050937,0.313915857605178,0.313915857605178,0.0012650129621755728,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,oracle_compatible_plugin,0.012740209270473484,0.01913005207050937,0.313915857605178,0.313915857605178,0.0012650129621755728,0.0012650129621755728
0.0,0.0,confounded,logger12_balanced,4,oracle_initialized_joint,0.010033363788166877,0.0161302482464555,0.22653721682847897,0.22653721682847897,0.0008062424400081216,0.0008062424400081216
0.0,0.0,confounded,logger12_balanced,4,oracle_u_aware_ceiling,0.012306298360360573,0.018412529038668524,0.2686084142394822,0.2686084142394822,0.00088481061065554,0.00088481061065554
0.0,0.002,confounded,logger12_balanced,0,current_random_init,0.012873110959939395,0.018040386814230085,0.33980582524271846,0.33980582524271846,0.0012348152405246792,0.0012348152405246792
0.0,0.002,confounded,logger12_balanced,0,collapsed_constrained_reference,0.01204275982477322,0.017537177938806936,0.29449838187702265,0.29449838187702265,0.0011197842166794942,0.0011197842166794942
0.0,0.002,confounded,logger12_balanced,0,true_behavior_fixed,0.01771740184518672,0.02384981032738213,0.22330097087378642,0.22330097087378642,0.0007472940339671027,0.0007472940339671027
0.0,0.002,confounded,logger12_balanced,0,true_behavior_fixed_em,0.012431415393625349,0.01798084488763875,0.23624595469255663,0.23624595469255663,0.0009144898837556663,0.0009144898837556663
0.0,0.002,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,0.01430308384970057,0.01982948048350237,0.18770226537216828,0.18770226537216828,0.0006850233616505644,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,oracle_compatible_plugin,0.01430308384970057,0.01982948048350237,0.18770226537216828,0.18770226537216828,0.0006850233616505644,0.0006850233616505644
0.0,0.002,confounded,logger12_balanced,0,oracle_initialized_joint,0.00991916230056443,0.014733938760709546,0.21359223300970873,0.21359223300970873,0.0006923529303168496,0.0006923529303168496
0.0,0.002,confounded,logger12_balanced,0,oracle_u_aware_ceiling,0.012238490022090015,0.01648147154807126,0.18122977346278318,0.18122977346278318,0.0005896531305464937,0.0005896531305464937
0.0,0.002,confounded,logger12_balanced,1,current_random_init,0.010842127391026092,0.016244259760993657,0.36245954692556637,0.36245954692556637,0.0013552119623125075,0.0013552119623125075
0.0,0.002,confounded,logger12_balanced,1,collapsed_constrained_reference,0.014822623950615963,0.019585302138837798,0.2168284789644013,0.2168284789644013,0.0008660554234295639,0.0008660554234295639
0.0,0.002,confounded,logger12_balanced,1,true_behavior_fixed,0.015208723893679754,0.020772014069606534,0.255663430420712,0.255663430420712,0.0009498358050454897,0.0009498358050454897
0.0,0.002,confounded,logger12_balanced,1,true_behavior_fixed_em,0.01691224350439023,0.02153646500538247,0.2686084142394822,0.2686084142394822,0.0010703114399295808,0.0010703114399295808
0.0,0.002,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,0.01118615650076436,0.016852220464951623,0.23300970873786409,0.23300970873786409,0.0008840442066563246,0.0008840442066563246
0.0,0.002,confounded,logger12_balanced,1,oracle_compatible_plugin,0.01118615650076436,0.016852220464951623,0.23300970873786409,0.23300970873786409,0.0008840442066563246,0.0008840442066563246
0.0,0.002,confounded,logger12_balanced,1,oracle_initialized_joint,0.009712097177971404,0.0156492189252512,0.2750809061488673,0.2750809061488673,0.0009722925580559186,0.0009722925580559186
0.0,0.002,confounded,logger12_balanced,1,oracle_u_aware_ceiling,0.011823506926277604,0.01676008876900731,0.2524271844660194,0.2524271844660194,0.0007836825581678196,0.0007836825581678196
0.0,0.002,confounded,logger12_balanced,2,current_random_init,0.010333813380580275,0.016156131169051593,0.32362459546925565,0.32362459546925565,0.0011838139265480743,0.0011856492809249478
0.0,0.002,confounded,logger12_balanced,2,collapsed_constrained_reference,0.01359892881300288,0.018944483164470297,0.313915857605178,0.313915857605178,0.0011625611055007792,0.0011625611055007792
0.0,0.002,confounded,logger12_balanced,2,true_behavior_fixed,0.021046061935460693,0.03527202500566011,0.36245954692556637,0.36245954692556637,0.0016060835278849954,0.0016060835278849954
0.0,0.002,confounded,logger12_balanced,2,true_behavior_fixed_em,0.014260591109826342,0.019529335359275736,0.32038834951456313,0.32038834951456313,0.0013083840482127776,0.001319340687546794
