kappa,lambda_reward,condition,mixture,seed,alpha,validation_nll,do_mae,rank_error,mean_regret
0.0,0.05,confounded,logger12_balanced,4,0.25,-1.0539329756541576,0.012244327294492386,0.3300970873786408,0.0012932714164640812
0.0,0.05,confounded,logger12_balanced,4,0.5,-1.1087035109728047,0.012244327294492386,0.3300970873786408,0.0012932714164640812
0.0,0.05,confounded,logger12_balanced,4,0.75,-1.1486452529738338,0.012244327294492386,0.3300970873786408,0.0012932714164640812
0.0,0.05,confounded,logger12_balanced,4,1.0,-1.1703155981684892,0.012244327294492386,0.3300970873786408,0.0012932714164640812
0.0,0.1,confounded,logger12_balanced,0,0.0,-0.9099984089163186,0.012201072364652047,0.1941747572815534,0.0006438608547406988
0.0,0.1,confounded,logger12_balanced,0,0.1,-0.9440203004901545,0.012201072364652047,0.1941747572815534,0.0006438608547406988
0.0,0.1,confounded,logger12_balanced,0,0.25,-0.9890124506186047,0.012201072364652047,0.1941747572815534,0.0006438608547406988
0.0,0.1,confounded,logger12_balanced,0,0.5,-1.0494460959325507,0.012201072364652047,0.1941747572815534,0.0006438608547406988
0.0,0.1,confounded,logger12_balanced,0,0.75,-1.0918912332127595,0.012201072364652047,0.1941747572815534,0.0006438608547406988
0.0,0.1,confounded,logger12_balanced,0,1.0,-1.1102597217139927,0.012201072364652047,0.1941747572815534,0.0006438608547406988
0.0,0.1,confounded,logger12_balanced,1,0.0,-0.8956482219723502,0.01171155947166018,0.2297734627831715,0.0010338059720287685
0.0,0.1,confounded,logger12_balanced,1,0.1,-0.929781525497709,0.01171155947166018,0.2297734627831715,0.0010338059720287685
0.0,0.1,confounded,logger12_balanced,1,0.25,-0.9749390568000974,0.01171155947166018,0.2297734627831715,0.0010338059720287685
0.0,0.1,confounded,logger12_balanced,1,0.5,-1.0356481180280306,0.01171155947166018,0.2297734627831715,0.0010338059720287685
0.0,0.1,confounded,logger12_balanced,1,0.75,-1.0783776612297975,0.01171155947166018,0.2297734627831715,0.0010338059720287685
0.0,0.1,confounded,logger12_balanced,1,1.0,-1.0970648182592113,0.01171155947166018,0.2297734627831715,0.0010338059720287685
0.0,0.1,confounded,logger12_balanced,2,0.0,-0.9355713486339564,0.011278105194897414,0.23948220064724918,0.0008636435105380466
0.0,0.1,confounded,logger12_balanced,2,0.1,-0.9697007137134608,0.011278105194897414,0.23948220064724918,0.0008636435105380466
0.0,0.1,confounded,logger12_balanced,2,0.25,-1.0148468110838562,0.011278105194897414,0.23948220064724918,0.0008636435105380466
0.0,0.1,confounded,logger12_balanced,2,0.5,-1.075522695077022,0.011278105194897414,0.23948220064724918,0.0008636435105380466
0.0,0.1,confounded,logger12_balanced,2,0.75,-1.1181985702835953,0.011278105194897414,0.23948220064724918,0.0008636435105380466
0.0,0.1,confounded,logger12_balanced,2,1.0,-1.1367942546037142,0.011278105194897414,0.23948220064724918,0.0008636435105380466
0.0,0.1,confounded,logger12_balanced,3,0.0,-0.9261719342258814,0.011765924294062226,0.20064724919093851,0.0006134570669427275
0.0,0.1,confounded,logger12_balanced,3,0.1,-0.9603008503603615,0.011765924294062226,0.20064724919093851,0.0006134570669427275
0.0,0.1,confounded,logger12_balanced,3,0.25,-1.0054462897448004,0.011765924294062226,0.20064724919093851,0.0006134570669427275
0.0,0.1,confounded,logger12_balanced,3,0.5,-1.0661212048550446,0.011765924294062226,0.20064724919093851,0.0006134570669427275
0.0,0.1,confounded,logger12_balanced,3,0.75,-1.1087970638350058,0.011765924294062226,0.20064724919093851,0.0006134570669427275
0.0,0.1,confounded,logger12_balanced,3,1.0,-1.1273986489141512,0.011765924294062226,0.20064724919093851,0.0006134570669427275
0.0,0.1,confounded,logger12_balanced,4,0.0,-0.9415906975045527,0.010925820258177833,0.2912621359223301,0.0011293899078245273
0.0,0.1,confounded,logger12_balanced,4,0.1,-0.9756195659162183,0.010925820258177833,0.2912621359223301,0.0011293899078245273
0.0,0.1,confounded,logger12_balanced,4,0.25,-1.0206248754238842,0.010925820258177833,0.2912621359223301,0.0011293899078245273
0.0,0.1,confounded,logger12_balanced,4,0.5,-1.081087814787942,0.010925820258177833,0.2912621359223301,0.0011293899078245273
0.0,0.1,confounded,logger12_balanced,4,0.75,-1.123572740282144,0.010925820258177833,0.2912621359223301,0.0011293899078245273
0.0,0.1,confounded,logger12_balanced,4,1.0,-1.141997098419293,0.010925820258177833,0.2912621359223301,0.0011293899078245273
