kappa,lambda_reward,condition,mixture,seed,variant,train_nll,validation_nll,test_nll,observational_reward_mae
0.0,0.01,confounded,logger12_balanced,1,current_random_init,-1.3092795610427856,-1.2072267532348633,-1.2290048599243164,0.010647036163124709
0.0,0.01,confounded,logger12_balanced,1,collapsed_constrained_reference,-1.1980509757995605,-1.0952043533325195,-1.1113922595977783,0.020247505429206773
0.0,0.01,confounded,logger12_balanced,1,true_behavior_fixed,-1.2767467498779297,-1.1910821199417114,-1.2115296125411987,0.01578120242016256
0.0,0.01,confounded,logger12_balanced,1,true_behavior_fixed_em,-1.2334493398666382,-1.1454123258590698,-1.1797369718551636,0.014671903192958415
0.0,0.01,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,-1.2503381967544556,-1.160431981086731,-1.1953262090682983,0.011694840221636499
0.0,0.01,confounded,logger12_balanced,1,oracle_compatible_plugin,-1.253697156906128,-1.162914752960205,-1.1981332302093506,0.011748090141084256
0.0,0.01,confounded,logger12_balanced,1,oracle_initialized_joint,-1.8148105144500732,-1.4511076211929321,-1.5336626768112183,0.012056771715342906
0.0,0.01,confounded,logger12_balanced,1,oracle_u_aware_ceiling,-1.3887586018034679,-1.2747979846623072,-1.3078277179681503,0.010030068453288174
0.0,0.01,confounded,logger12_balanced,2,current_random_init,-1.3302667140960693,-1.2085355520248413,-1.2465709447860718,0.012430605428231241
0.0,0.01,confounded,logger12_balanced,2,collapsed_constrained_reference,-1.0969873666763306,-0.867331326007843,-0.9769015312194824,0.020301899112958707
0.0,0.01,confounded,logger12_balanced,2,true_behavior_fixed,-0.9460862278938293,-0.6640902757644653,-0.8243077993392944,0.02557182801673827
0.0,0.01,confounded,logger12_balanced,2,true_behavior_fixed_em,-1.0963268280029297,-1.0364375114440918,-1.0471217632293701,0.011664595111317101
0.0,0.01,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,-1.257008671760559,-1.177850365638733,-1.19375741481781,0.014033090646039874
0.0,0.01,confounded,logger12_balanced,2,oracle_compatible_plugin,-1.260150671005249,-1.1802772283554077,-1.1961411237716675,0.014069962251306948
0.0,0.01,confounded,logger12_balanced,2,oracle_initialized_joint,-1.5703339576721191,-1.4147447347640991,-1.4246745109558105,0.012414240042415061
0.0,0.01,confounded,logger12_balanced,2,oracle_u_aware_ceiling,-1.3702037590622898,-1.2531838397828567,-1.2717604340427056,0.011281207386122054
0.0,0.01,confounded,logger12_balanced,3,current_random_init,-1.3647053241729736,-1.2296618223190308,-1.2944145202636719,0.010669097438866685
0.0,0.01,confounded,logger12_balanced,3,collapsed_constrained_reference,-1.2047362327575684,-1.0918457508087158,-1.1444348096847534,0.017620661491361458
0.0,0.01,confounded,logger12_balanced,3,true_behavior_fixed,-1.3065274953842163,-1.2063816785812378,-1.2297210693359375,0.015060949725478244
0.0,0.01,confounded,logger12_balanced,3,true_behavior_fixed_em,-1.2108961343765259,-1.1376925706863403,-1.1556683778762817,0.016444476346021118
0.0,0.01,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,-1.3231258392333984,-1.215316653251648,-1.2596328258514404,0.012824950036715545
0.0,0.01,confounded,logger12_balanced,3,oracle_compatible_plugin,-1.3242679834365845,-1.215965986251831,-1.2605987787246704,0.012944399062676531
0.0,0.01,confounded,logger12_balanced,3,oracle_initialized_joint,-1.810880422592163,-1.4870038032531738,-1.6067578792572021,0.011971094392754131
0.0,0.01,confounded,logger12_balanced,3,oracle_u_aware_ceiling,-1.3566984099150134,-1.2453559449944465,-1.2899936506685414,0.010309591608968799
0.0,0.01,confounded,logger12_balanced,4,current_random_init,-1.3384809494018555,-1.230071783065796,-1.2476191520690918,0.01163018208049962
