kappa,lambda_reward,condition,mixture,seed,alpha,validation_nll,train_fitted_log_scale,do_mae,rank_error,mean_regret
0.0,0.005,confounded,logger12_balanced,2,0.75,-1.4068377895657724,-4.480215162928317,0.012667201321210108,0.2297734627831715,0.0007396063322178348
0.0,0.005,confounded,logger12_balanced,2,1.0,-1.402219875316558,-4.500135778267259,0.012667201321210108,0.2297734627831715,0.0007396063322178348
0.0,0.005,confounded,logger12_balanced,3,0.0,-1.3386787929704476,-4.3812269812553355,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,0.1,-1.3291007850269718,-4.38935459931974,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,0.25,-1.3168185635590124,-4.4030387716176875,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,0.5,-1.299024345791656,-4.428878092063701,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,0.75,-1.2806864638917126,-4.456826502021556,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,1.0,-1.262741867158601,-4.483805756628296,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,4,0.0,-1.5884791307427168,-4.262078619850635,0.015218661606249864,0.36893203883495146,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,0.1,-1.586000650723756,-4.266447371260556,0.015218661606249864,0.36893203883495146,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,0.25,-1.5823484565000496,-4.274372615382293,0.015218661606249864,0.36893203883495146,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,0.5,-1.575760712951923,-4.290419874905867,0.015218661606249864,0.36893203883495146,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,0.75,-1.56665774359769,-4.30892889414774,0.015218661606249864,0.36893203883495146,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,1.0,-1.5550676713455214,-4.327842238790924,0.015218661606249864,0.36893203883495146,0.00152202645164406
