kappa,lambda_reward,condition,mixture,seed,variant,latent_collapse,reward_mode_separation,behavior_separation,prior_p_z1,prior_error,posterior_entropy,posterior_effective_usage,posterior_u_accuracy
0.0,0.002,confounded,logger12_balanced,3,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.002,confounded,logger12_balanced,3,true_behavior_fixed,False,0.005240393330740526,0.3999999761581421,0.5,0.0,0.5123289823532104,1.6691741486620675,0.5009708737864078
0.0,0.002,confounded,logger12_balanced,3,true_behavior_fixed_em,False,0.004963017688212423,0.3999999761581421,0.5,0.0,0.5125136971473694,1.669482498298846,0.5022653721682848
0.0,0.002,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,False,0.006262920209683526,0.0,0.5,0.0,0.6921566724777222,1.9980199646179637,0.5414239482200647
0.0,0.002,confounded,logger12_balanced,3,oracle_compatible_plugin,False,0.006262920209683526,0.3999999761581421,0.5,0.0,0.5124195218086243,1.6693252816221227,0.5097087378640777
0.0,0.002,confounded,logger12_balanced,3,oracle_initialized_joint,False,0.004550677954819459,0.4093886613845825,0.4985927939414978,0.0014072060585021973,0.5019918084144592,1.6520084802592576,0.5035598705501618
0.0,0.002,confounded,logger12_balanced,3,oracle_u_aware_ceiling,False,0.006671277621125224,,0.5,,0.0,1.0,1.0
0.0,0.002,confounded,logger12_balanced,4,current_random_init,True,0.006637880473122145,0.17690759897232056,0.9932557344436646,0.49325573444366455,0.035362228751182556,1.0359949079833053,0.5
0.0,0.002,confounded,logger12_balanced,4,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.002,confounded,logger12_balanced,4,true_behavior_fixed,False,0.007017397270571255,0.3999999761581421,0.5,0.0,0.5114050507545471,1.6676326581480017,0.5042071197411003
0.0,0.002,confounded,logger12_balanced,4,true_behavior_fixed_em,False,0.0054102067970875556,0.3999999761581421,0.5,0.0,0.5118185877799988,1.668322428609981,0.501294498381877
0.0,0.002,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,False,0.008531559985482788,0.05735166370868683,0.5,0.0,0.687170684337616,1.9880826550114532,0.5171521035598705
0.0,0.002,confounded,logger12_balanced,4,oracle_compatible_plugin,False,0.008531559985482788,0.3999999761581421,0.5,0.0,0.5127360820770264,1.6698538073320301,0.5093851132686085
0.0,0.002,confounded,logger12_balanced,4,oracle_initialized_joint,False,0.005142169127163024,0.4134431779384613,0.4943705201148987,0.005629479885101318,0.49543407559394836,1.6412104938795677,0.5048543689320388
0.0,0.002,confounded,logger12_balanced,4,oracle_u_aware_ceiling,False,0.007034881769872577,,0.5,,0.0,1.0,1.0
0.0,0.005,confounded,logger12_balanced,0,current_random_init,True,0.006869291187871543,0.1797807812690735,0.993096649646759,0.49309664964675903,0.035768263041973114,1.0364156428516424,0.5
0.0,0.005,confounded,logger12_balanced,0,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.005,confounded,logger12_balanced,0,true_behavior_fixed,False,0.005389128985365923,0.3999999761581421,0.5,0.0,0.5118324756622314,1.6683455982362836,0.5058252427184466
0.0,0.005,confounded,logger12_balanced,0,true_behavior_fixed_em,False,0.0052875570001022386,0.3999999761581421,0.5,0.0,0.5106547474861145,1.6663818971977398,0.5042071197411003
0.0,0.005,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,False,0.010045978847445756,0.15724089741706848,0.5,0.0,0.6676065325737,1.9495655104088154,0.5297734627831715
0.0,0.005,confounded,logger12_balanced,0,oracle_compatible_plugin,False,0.010045978847445756,0.3999999761581421,0.5,0.0,0.5120909810066223,1.6687769302381306,0.529126213592233
0.0,0.005,confounded,logger12_balanced,0,oracle_initialized_joint,False,0.005688927519841565,0.40902024507522583,0.5061793327331543,0.006179332733154297,0.49985554814338684,1.648483127052098,0.5084142394822007
