kappa,lambda_reward,condition,mixture,seed,variant,train_nll,validation_nll,test_nll,observational_reward_mae,do_mae,do_rmse,rank_error,strict_flip,mean_regret,worst_tie_mean_regret,latent_collapse,reward_mode_separation,behavior_separation,prior_p_z1,prior_error,posterior_entropy,posterior_effective_usage,posterior_u_accuracy,behavior_table_mae,label_permutation,posterior_label_flipped
0.0,0.0,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,-1.36011803150177,-1.2705670595169067,-1.2611942291259766,0.012529242050085935,0.012481513317605157,0.018865916150905233,0.2459546925566343,0.2459546925566343,0.001001083383644554,0.001001083383644554,False,0.006063895763439953,0.028936471790075302,0.5,0.0,0.6908023357391357,1.9953158043605814,0.5,0.12368784315100696,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,2,oracle_compatible_plugin,-1.3616431951522827,-1.2704315185546875,-1.2622294425964355,0.012555160357249235,0.012481513317605157,0.018865916150905233,0.2459546925566343,0.2459546925566343,0.001001083383644554,0.001001083383644554,False,0.006063895763439953,0.3999999761581421,0.5,0.0,0.5116094350814819,1.6679735309597554,0.5,6.623182749422238e-09,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,2,oracle_initialized_joint,-1.919151782989502,-1.5162864923477173,-1.616828203201294,0.012729278045645847,0.012780390157412804,0.018350083979439515,0.18446601941747573,0.18446601941747573,0.0006630831737141013,0.0006630831737141013,False,0.006066295846326551,0.4138590693473816,0.49998849630355835,1.150369644165039e-05,0.48875996470451355,1.630293344706805,0.5,0.004619686885452928,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,2,oracle_u_aware_ceiling,-1.3941124904075546,-1.2610171676388398,-1.299287912921916,0.012616418403533223,0.012540143270877898,0.019117941651045932,0.30097087378640774,0.30097087378640774,0.0011834240910294153,0.0011834240910294153,False,0.005532064849150538,,0.5,,0.0,1.0,1.0,,,False
0.0,0.0,confounded,logger12_balanced,3,current_random_init,-1.3826000690460205,-1.267931342124939,-1.3047490119934082,0.010846452302038291,0.01083671182442412,0.01573635376104266,0.24919093851132687,0.24919093851132687,0.0008652874399804655,0.0008652874399804655,True,0.006636216704951073,0.17937704920768738,0.9931123852729797,0.49311238527297974,0.03586713969707489,1.0365181252301767,0.5,0.19406836840013664,"(1, 0)",False
0.0,0.0,confounded,logger12_balanced,3,collapsed_constrained_reference,-1.3486326932907104,-1.2285828590393066,-1.2732864618301392,0.012405031921045102,0.012413488157503644,0.017169340577990556,0.19741100323624594,0.19741100323624594,0.0007117240836681404,0.0007117240836681404,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5,0.15312261577281686,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,3,true_behavior_fixed,-1.3691447973251343,-1.2637954950332642,-1.309464454650879,0.011845871492247096,0.011831278832072623,0.01643725989633961,0.3074433656957929,0.3074433656957929,0.001139413653974276,0.001139413653974276,False,0.005212906155729552,0.3999999761581421,0.5,0.0,0.5114044547080994,1.6676316641617759,0.5,6.623182749422238e-09,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,3,true_behavior_fixed_em,-1.2629423141479492,-1.1673375368118286,-1.2072895765304565,0.015035859336757067,0.01502159491101355,0.019158195848165253,0.24919093851132687,0.24919093851132687,0.0008454696298695901,0.0008454696298695901,False,0.005499205181201684,0.3999999761581421,0.5,0.0,0.5120187997817993,1.6686564802225168,0.5,6.623182749422238e-09,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,-1.301146149635315,-1.211310863494873,-1.2461450099945068,0.012128974297618902,0.012055513032551745,0.016600932267502158,0.22653721682847897,0.22653721682847897,0.0008705582774918095,0.0008705582774918095,False,0.005409765156695797,0.0,0.5,0.0,0.6924248337745667,1.9985558280885072,0.5,0.13333333333377778,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,3,oracle_compatible_plugin,-1.3018379211425781,-1.2095916271209717,-1.2456047534942627,0.012197611360738965,0.012055513032551745,0.016600932267502158,0.22653721682847897,0.22653721682847897,0.0008705582774918095,0.0008705582774918095,False,0.005409765156695797,0.3999999761581421,0.5,0.0,0.5129367709159851,1.6701889619836285,0.5,6.623182749422238e-09,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,3,oracle_initialized_joint,-1.9536188840866089,-1.5795027017593384,-1.7454109191894531,0.010061114725061666,0.010017687080988467,0.014706377443378445,0.21359223300970873,0.21359223300970873,0.0007574458537274796,0.0007574458537274796,False,0.004592143596012058,0.40968942642211914,0.4991692304611206,0.0008307695388793945,0.5020650625228882,1.6521295011001789,0.5,0.0032298100495782188,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,3,oracle_u_aware_ceiling,-1.4061034618457968,-1.2878696201291295,-1.336765994108652,0.009576879861118295,0.009358600586442343,0.014452690512122309,0.23300970873786409,0.23300970873786409,0.0007736808088645987,0.0007736808088645987,False,0.005301526705983845,,0.5,,0.0,1.0,1.0,,,False
0.0,0.0,confounded,logger12_balanced,4,current_random_init,-1.3945136070251465,-1.2735874652862549,-1.280874490737915,0.012491390013497998,0.012454661368536556,0.01905376148511781,0.20064724919093851,0.20064724919093851,0.0006843114395387468,0.0006843114395387468,True,0.006652592427803594,0.17696082592010498,0.9932405948638916,0.4932405948638916,0.03562447801232338,1.0362666325106904,0.5,0.19298991465734114,"(1, 0)",False
0.0,0.0,confounded,logger12_balanced,4,collapsed_constrained_reference,-1.325425624847412,-1.2237955331802368,-1.2528040409088135,0.013311473249440984,0.013231443963285523,0.01862487766405545,0.28802588996763756,0.28802588996763756,0.0011634237026874128,0.0011634237026874128,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5,0.15329471963147323,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,4,true_behavior_fixed,-1.33031165599823,-1.2257030010223389,-1.2627202272415161,0.013650423081971858,0.013378392967879049,0.019202197941576297,0.37216828478964403,0.37216828478964403,0.001523234699367154,0.001523234699367154,False,0.006603134303904073,0.3999999761581421,0.5,0.0,0.5127823352813721,1.669931045207644,0.5,6.623182749422238e-09,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,4,true_behavior_fixed_em,-1.3627541065216064,-1.2619444131851196,-1.292814016342163,0.01258626379887976,0.012609883402845887,0.017694102446953013,0.3106796116504854,0.3106796116504854,0.0011884420161176537,0.0011884420161176537,False,0.005921864702462191,0.3999999761581421,0.5,0.0,0.5116198658943176,1.6679909293702113,0.5,6.623182749422238e-09,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,-1.3668946027755737,-1.2646323442459106,-1.2784830331802368,0.012811222982490943,0.012740209270473484,0.01913005207050937,0.313915857605178,0.313915857605178,0.0012650129621755728,0.0012650129621755728,False,0.00541464215138766,0.048675667494535446,0.5,0.0,0.6886776089668274,1.9910808041542356,0.5,0.11710811124951986,"(0, 1)",False
