kappa,lambda_reward,condition,mixture,seed,observationally_best_variant,do_mae_best_variant,ranking_best_variant,regret_best_variant,observational_best_matches_do_best,observational_best_matches_ranking_best,observational_best_matches_regret_best,nll_current_collapsed,nll_explicit_collapsed,nll_true_behavior_fixed,nll_true_behavior_em,nll_oracle_plugin,nll_oracle_initialized_best,nll_oracle_initialized_final,delta_nll_oracle_vs_collapsed,delta_nll_oracleinit_best_vs_collapsed,delta_nll_oracleinit_final_vs_collapsed,delta_do_mae_oracle_vs_collapsed,delta_rank_error_oracle_vs_collapsed,delta_regret_oracle_vs_collapsed
0.0,0.05,confounded,logger12_balanced,0,oracle_initialized_joint,oracle_initialized_joint,oracle_initialized_joint,oracle_initialized_joint,True,True,True,-0.5653622150421143,-0.5726711750030518,-0.6635181307792664,-0.6346142292022705,-0.8343110680580139,-1.0124815702438354,-1.0124815702438354,-0.26163989305496216,-0.4398103952407837,-0.4398103952407837,-0.013912695753264264,-0.6828478964401294,-0.005870085005032116
0.0,0.05,confounded,logger12_balanced,1,oracle_initialized_joint,oracle_reward_fixed_learn_behavior,oracle_reward_fixed_learn_behavior,oracle_reward_fixed_learn_behavior,False,False,False,-0.5987250208854675,-0.5850129723548889,-0.6264727711677551,-0.6066415309906006,-0.8066824674606323,-1.1261508464813232,-0.5573710799217224,-0.2216694951057434,-0.5411378741264343,0.027641892433166504,-0.014342163203339864,-0.6990291262135921,-0.005883908500350293
0.0,0.05,confounded,logger12_balanced,2,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,oracle_u_aware_ceiling,False,False,False,-0.607369601726532,-0.573440432548523,-0.629112958908081,-0.6319929957389832,-0.8186817765235901,-1.109465479850769,-0.8794969320297241,-0.24524134397506714,-0.5360250473022461,-0.30605649948120117,-0.01171751257778235,-0.6731391585760518,-0.005713680160715379
0.0,0.05,confounded,logger12_balanced,3,oracle_initialized_joint,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,True,False,False,-0.6058443188667297,-0.5708028078079224,-0.6450268626213074,-0.629582941532135,-0.8343226909637451,-1.2199913263320923,-1.1392474174499512,-0.26351988315582275,-0.6491885185241699,-0.5684446096420288,-0.015076304127400509,-0.6731391585760518,-0.005727969953743473
0.0,0.05,confounded,logger12_balanced,4,oracle_initialized_joint,oracle_initialized_joint,oracle_initialized_joint,oracle_initialized_joint,True,True,True,-0.613330602645874,-0.438118577003479,-0.578366219997406,-0.6044734716415405,-0.823215663433075,-1.200967788696289,-0.850857675075531,-0.38509708642959595,-0.7628492116928101,-0.412739098072052,-0.019832943872623174,-0.5760517799352751,-0.005269657336688145
0.0,0.1,confounded,logger12_balanced,0,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_initialized_joint,oracle_u_aware_ceiling,False,True,False,0.022068344056606293,0.037707775831222534,-0.5366408228874207,-0.17532601952552795,-0.7704494595527649,-1.0148159265518188,0.1334799975156784,-0.8081572353839874,-1.0525237023830414,0.09577222168445587,-0.030824992596081686,-0.715210355987055,-0.005931092742180686
0.0,0.1,confounded,logger12_balanced,1,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_reward_fixed_learn_behavior,oracle_u_aware_ceiling,False,False,False,0.0037090519908815622,0.04033747315406799,-0.4391290843486786,-0.18501952290534973,-0.7572545409202576,-0.960724949836731,0.7864479422569275,-0.7975920140743256,-1.001062422990799,0.7461104691028595,-0.03409983226899212,-0.6796116504854368,-0.005560010554071874
0.0,0.1,confounded,logger12_balanced,2,oracle_initialized_joint,oracle_initialized_joint,oracle_initialized_joint,oracle_initialized_joint,True,True,True,0.010741738602519035,0.025118010118603706,-0.5211659073829651,-0.18821419775485992,-0.7969839572906494,-1.024552583694458,-0.6368956565856934,-0.8221019674092531,-1.0496705938130617,-0.6620136667042971,-0.030099534229739544,-0.6699029126213591,-0.005730173015562596
0.0,0.1,confounded,logger12_balanced,3,oracle_initialized_joint,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,True,False,False,0.006140456069260836,0.021899808198213577,-0.49209800362586975,-0.18292362987995148,-0.7875884175300598,-1.109948992729187,-0.09842666983604431,-0.8094882257282734,-1.1318488009274006,-0.12032647803425789,-0.02940683199692217,-0.7087378640776698,-0.005973546569270908
0.0,0.1,confounded,logger12_balanced,4,oracle_initialized_joint,oracle_reward_fixed_learn_behavior,oracle_initialized_joint,oracle_initialized_joint,False,True,True,0.0032890220172703266,0.0337815023958683,-0.5311119556427002,-0.14743606746196747,-0.8021868467330933,-1.0626636743545532,0.08577495068311691,-0.8359683491289616,-1.0964451767504215,0.05199344828724861,-0.029763661844068187,-0.6181229773462783,-0.005458277759208488
