kappa,lambda_reward,variant,metric,n_seeds,mean,sd,min,max,ci95_low,ci95_high,inferential_unit
0.0,0.0,oracle_u_aware_ceiling,reward_mode_separation,5,0.0054893081313689,0.0002760576706162632,0.005179671102657374,0.005901716838023375,0.005146537260336693,0.0058320790024011075,model_seed
0.0,0.0,oracle_u_aware_ceiling,validation_nll,5,-1.280855740697132,0.015367526043006896,-1.3023235416539363,-1.2610171676388398,-1.2999370445261924,-1.2617744368680714,model_seed
0.0,0.0,true_behavior_fixed,behavior_table_mae,5,6.623182749422238e-09,0.0,6.623182749422238e-09,6.623182749422238e-09,6.623182749422238e-09,6.623182749422238e-09,model_seed
0.0,0.0,true_behavior_fixed,do_mae,5,0.016721882474209245,0.009751179793231507,0.010933516766170718,0.03406329219167025,0.004614193584941636,0.028829571363476855,model_seed
0.0,0.0,true_behavior_fixed,latent_collapse,5,0.0,0.0,0.0,0.0,0.0,0.0,model_seed
0.0,0.0,true_behavior_fixed,mean_regret,5,0.0012118327085070776,0.00030746514473249166,0.0007595533876352065,0.001523234699367154,0.0008300643075902323,0.0015936011094239229,model_seed
0.0,0.0,true_behavior_fixed,rank_error,5,0.3035598705501618,0.06372200334884827,0.21359223300970873,0.37216828478964403,0.22443855309847707,0.3826811880018466,model_seed
0.0,0.0,true_behavior_fixed,reward_mode_separation,5,0.006159663273222711,0.0010665692884408975,0.005165862232851255,0.0077294830243942085,0.00483534258617584,0.007483983960269582,model_seed
0.0,0.0,true_behavior_fixed,validation_nll,5,-1.1508001327514648,0.23728524401367673,-1.290074348449707,-0.7284470796585083,-1.445428677548243,-0.8561715879546865,model_seed
0.0,0.0,true_behavior_fixed_em,behavior_table_mae,5,6.623182749422238e-09,0.0,6.623182749422238e-09,6.623182749422238e-09,6.623182749422238e-09,6.623182749422238e-09,model_seed
0.0,0.0,true_behavior_fixed_em,do_mae,5,0.013722450198547462,0.0018660946736844624,0.012227055552012993,0.016365696126035403,0.01140538762499366,0.016039512772101264,model_seed
0.0,0.0,true_behavior_fixed_em,latent_collapse,5,0.0,0.0,0.0,0.0,0.0,0.0,model_seed
0.0,0.0,true_behavior_fixed_em,mean_regret,5,0.0009545201245022448,0.00021641299481474791,0.0006356304347382741,0.0011884420161176537,0.000685807900097314,0.0012232323489071756,model_seed
0.0,0.0,true_behavior_fixed_em,rank_error,5,0.258252427184466,0.04741956249985829,0.18446601941747573,0.3106796116504854,0.19937326361781857,0.31713159075111347,model_seed
0.0,0.0,true_behavior_fixed_em,reward_mode_separation,5,0.005746819532809579,0.00023869156522266692,0.005499205181201684,0.006063650173563186,0.005450444809597687,0.0060431942560214705,model_seed
0.0,0.0,true_behavior_fixed_em,validation_nll,5,-1.2229777336120606,0.04296347591890858,-1.2619444131851196,-1.1673375368118286,-1.2763239348982638,-1.1696315323258575,model_seed
0.0,0.002,collapsed_constrained_reference,behavior_table_mae,5,0.15315799928373758,0.0001480246884190005,0.15292490385472773,0.15329471963147323,0.15297420235728237,0.15334179621019278,model_seed
0.0,0.002,collapsed_constrained_reference,do_mae,5,0.013571935751766245,0.0011063974117209653,0.01204275982477322,0.014822623950615963,0.012198161917926493,0.014945709585605997,model_seed
0.0,0.002,collapsed_constrained_reference,latent_collapse,5,1.0,0.0,1.0,1.0,1.0,1.0,model_seed
0.0,0.002,collapsed_constrained_reference,mean_regret,5,0.0012110579074383573,0.0004442587262404045,0.0008660554234295639,0.0019741416703642164,0.000659437841177784,0.0017626779736989305,model_seed
0.0,0.002,collapsed_constrained_reference,rank_error,5,0.3061488673139159,0.08679536837616712,0.2168284789644013,0.44660194174757284,0.19837818319039546,0.4139195514374363,model_seed
0.0,0.002,collapsed_constrained_reference,reward_mode_separation,5,0.0,0.0,0.0,0.0,0.0,0.0,model_seed
0.0,0.002,collapsed_constrained_reference,validation_nll,5,-1.2232495069503784,0.014800367873468102,-1.2470251321792603,-1.2095682621002197,-1.2416265908990354,-1.2048724230017214,model_seed
0.0,0.002,current_random_init,behavior_table_mae,5,0.19299199910213555,0.002491080477771479,0.18880744421233736,0.19534873380843137,0.18989891415625845,0.19608508404801264,model_seed
0.0,0.002,current_random_init,do_mae,5,0.010840819643659402,0.001213365299801025,0.009667332093763107,0.012873110959939395,0.00933422763422675,0.012347411653092054,model_seed
0.0,0.002,current_random_init,latent_collapse,5,1.0,0.0,1.0,1.0,1.0,1.0,model_seed
0.0,0.002,current_random_init,mean_regret,5,0.0011803082819556387,0.0001399811373860174,0.0009698307744979573,0.0013552119623125075,0.0010064987432358056,0.0013541178206754718,model_seed
