anchor_id,kappa,condition,mixture,segment_kind,lambda_start,lambda_stop,probe_lambda,top_set,top_disagreement,strict_flip,regret_best,regret_worst,true_do_regret,observational_top_second_gap
552,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.003103089486814259
552,0.0,confounded,logger1_heavy,interval,0.0,0.004107030203136519,0.0020535151015682596,minus,False,False,0.0,0.0,0.0,0.0015515447434073515
552,0.0,confounded,logger1_heavy,point,0.004107030203136519,0.004107030203136519,0.004107030203136519,minus|base,True,False,0.0,0.003103089486813815,0.0,0.0
552,0.0,confounded,logger1_heavy,interval,0.004107030203136519,0.004162263358111207,0.004134646780623863,base,True,True,0.003103089486813815,0.003103089486813815,0.003103089486813815,2.0865858545882077e-05
552,0.0,confounded,logger1_heavy,point,0.004162263358111207,0.004162263358111207,0.004162263358111207,base,True,True,0.003103089486813815,0.003103089486813815,0.003103089486813815,4.173171709220824e-05
552,0.0,confounded,logger1_heavy,interval,0.004162263358111207,0.004217496513085894,0.0041898799355985505,base,True,True,0.003103089486813815,0.003103089486813815,0.003103089486813815,2.0865858545882077e-05
552,0.0,confounded,logger1_heavy,point,0.004217496513085894,0.004217496513085894,0.004217496513085894,base|plus,True,True,0.003103089486813815,0.00628964240781249,0.003103089486813815,0.0
552,0.0,confounded,logger1_heavy,interval,0.004217496513085894,+inf,1.004217496513086,plus,True,True,0.00628964240781249,0.00628964240781249,0.00628964240781249,0.7555555555555551
553,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.0030673952086686107
553,0.0,confounded,logger1_heavy,interval,0.0,0.004059787776179043,0.0020298938880895217,minus,False,False,0.0,0.0,0.0,0.0015336976043345274
553,0.0,confounded,logger1_heavy,point,0.004059787776179043,0.004059787776179043,0.004059787776179043,minus|base,True,False,0.0,0.0030673952086686107,0.0,0.0
553,0.0,confounded,logger1_heavy,interval,0.004059787776179043,0.004115178971480439,0.004087483373829741,base,True,True,0.0030673952086686107,0.0030673952086686107,0.0030673952086686107,2.092556266930501e-05
553,0.0,confounded,logger1_heavy,point,0.004115178971480439,0.004115178971480439,0.004115178971480439,base,True,True,0.0030673952086686107,0.0030673952086686107,0.0030673952086686107,4.185112533905411e-05
553,0.0,confounded,logger1_heavy,interval,0.004115178971480439,0.004170570166781834,0.004142874569131137,base,True,True,0.0030673952086686107,0.0030673952086686107,0.0030673952086686107,2.092556266930501e-05
553,0.0,confounded,logger1_heavy,point,0.004170570166781834,0.004170570166781834,0.004170570166781834,base|plus,True,True,0.0030673952086686107,0.00621849266801533,0.0030673952086686107,0.0
553,0.0,confounded,logger1_heavy,interval,0.004170570166781834,+inf,1.0041705701667818,plus,True,True,0.00621849266801533,0.00621849266801533,0.00621849266801533,0.755555555555556
554,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.0011386066470109313
554,0.0,confounded,logger1_heavy,interval,0.0,0.001506979385749762,0.000753489692874881,minus,False,False,0.0,0.0,0.0,0.0005693033235054656
554,0.0,confounded,logger1_heavy,point,0.001506979385749762,0.001506979385749762,0.001506979385749762,minus|base,True,False,0.0,0.0011386066470109313,0.0,0.0
554,0.0,confounded,logger1_heavy,interval,0.001506979385749762,0.0015634595941323404,0.0015352194899410513,base,True,True,0.0011386066470109313,0.0011386066470109313,0.0011386066470109313,2.1336967611418345e-05
554,0.0,confounded,logger1_heavy,point,0.0015634595941323404,0.0015634595941323404,0.0015634595941323404,base,True,True,0.0011386066470109313,0.0011386066470109313,0.0011386066470109313,4.267393522283669e-05
554,0.0,confounded,logger1_heavy,interval,0.0015634595941323404,0.0016199398025149188,0.0015916996983236296,base,True,True,0.0011386066470109313,0.0011386066470109313,0.0011386066470109313,2.1336967611418345e-05
554,0.0,confounded,logger1_heavy,point,0.0016199398025149188,0.0016199398025149188,0.0016199398025149188,base|plus,True,True,0.0011386066470109313,0.0023625611644666478,0.0011386066470109313,0.0
554,0.0,confounded,logger1_heavy,interval,0.0016199398025149188,+inf,1.001619939802515,plus,True,True,0.0023625611644666478,0.0023625611644666478,0.0023625611644666478,0.7555555555555555
555,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,plus,False,False,0.0,0.0,0.0,0.005807092368826927
555,0.0,confounded,logger1_heavy,interval,0.0,+inf,1.0,plus,False,False,0.0,0.0,0.0,0.7613626479243825
556,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.0008943487526025251
556,0.0,confounded,logger1_heavy,interval,0.0,0.0011836968784445187,0.0005918484392222593,minus,False,False,0.0,0.0,0.0,0.00044717437630126255
556,0.0,confounded,logger1_heavy,point,0.0011836968784445187,0.0011836968784445187,0.0011836968784445187,minus|base,True,False,0.0,0.0008943487526025251,0.0,0.0
556,0.0,confounded,logger1_heavy,interval,0.0011836968784445187,0.0012285766557722315,0.001206136767108375,base,True,True,0.0008943487526025251,0.0008943487526025251,0.0008943487526025251,1.6954582545913865e-05
556,0.0,confounded,logger1_heavy,point,0.0012285766557722315,0.0012285766557722315,0.0012285766557722315,base,True,True,0.0008943487526025251,0.0008943487526025251,0.0008943487526025251,3.390916509182773e-05
556,0.0,confounded,logger1_heavy,interval,0.0012285766557722315,0.0012734564330999444,0.001251016544436088,base,True,True,0.0008943487526025251,0.0008943487526025251,0.0008943487526025251,1.6954582545913865e-05
556,0.0,confounded,logger1_heavy,point,0.0012734564330999444,0.0012734564330999444,0.0012734564330999444,base|plus,True,True,0.0008943487526025251,0.0018565158353891498,0.0008943487526025251,0.0
556,0.0,confounded,logger1_heavy,interval,0.0012734564330999444,+inf,1.0012734564330998,plus,True,True,0.0018565158353891498,0.0018565158353891498,0.0018565158353891498,0.7555555555555555
557,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.002406234547505548
557,0.0,confounded,logger1_heavy,interval,0.0,0.003184722195227931,0.0015923610976139656,minus,False,False,0.0,0.0,0.0,0.001203117273752774
557,0.0,confounded,logger1_heavy,point,0.003184722195227931,0.003184722195227931,0.003184722195227931,minus|base,True,False,0.0,0.002406234547505548,0.0,0.0
