anchor_id,kappa,condition,mixture,left_action,right_action,crossing,status,top_left,top_point,top_right
327,0.0,confounded,logger2_heavy,minus,base,0.006909789311095982,nonnegative,minus,minus|base,base
327,0.0,confounded,logger2_heavy,minus,plus,0.0070025746061911365,nonnegative,base,base,base
327,0.0,confounded,logger2_heavy,base,plus,0.007095359901286291,nonnegative,base,base|plus,plus
328,0.0,confounded,logger2_heavy,minus,base,0.01398191664991244,nonnegative,minus,minus|base,base
328,0.0,confounded,logger2_heavy,minus,plus,0.014073028694801204,nonnegative,base,base,base
328,0.0,confounded,logger2_heavy,base,plus,0.014164140739689968,nonnegative,base,base|plus,plus
329,0.0,confounded,logger2_heavy,minus,base,0.014406924734423288,nonnegative,minus,minus|base,base
329,0.0,confounded,logger2_heavy,minus,plus,0.014806191964034543,nonnegative,base,base,base
329,0.0,confounded,logger2_heavy,base,plus,0.015205459193645798,nonnegative,base,base|plus,plus
330,0.0,confounded,logger2_heavy,minus,base,0.013243124920937821,nonnegative,minus,minus|base,base
330,0.0,confounded,logger2_heavy,minus,plus,0.01333360398168748,nonnegative,base,base,base
330,0.0,confounded,logger2_heavy,base,plus,0.01342408304243714,nonnegative,base,base|plus,plus
331,0.0,confounded,logger2_heavy,minus,base,0.0013105699673009452,nonnegative,minus,minus|base,base
331,0.0,confounded,logger2_heavy,minus,plus,0.0014038661344912273,nonnegative,base,base,base
331,0.0,confounded,logger2_heavy,base,plus,0.0014971623016815094,nonnegative,base,base|plus,plus
332,0.0,confounded,logger2_heavy,minus,base,0.004321357881582499,nonnegative,minus,minus|base,base
332,0.0,confounded,logger2_heavy,minus,plus,0.004412825716222923,nonnegative,base,base,base
332,0.0,confounded,logger2_heavy,base,plus,0.0045042935508633475,nonnegative,base,base|plus,plus
333,0.0,confounded,logger2_heavy,minus,base,0.0032675862905741093,nonnegative,minus,minus|base,base
333,0.0,confounded,logger2_heavy,minus,plus,0.0033579491871694733,nonnegative,base,base,base
333,0.0,confounded,logger2_heavy,base,plus,0.0034483120837648373,nonnegative,base,base|plus,plus
334,0.0,confounded,logger2_heavy,minus,base,0.0018848692728012928,nonnegative,minus,minus|base,base
334,0.0,confounded,logger2_heavy,minus,plus,0.0019744736486804193,nonnegative,base,base,base
334,0.0,confounded,logger2_heavy,base,plus,0.002064078024559546,nonnegative,base,base|plus,plus
335,0.0,confounded,logger2_heavy,minus,base,0.008564591310257108,nonnegative,minus,minus|base,base
