kappa,condition,mixture,subset,lambda_reward,count,rank_disagreement_rate,strict_flip_rate,obs_regret,obs_regret_worst_tie,mean_regret,conditional_regret_given_error,mean_action_dependent_distortion,gap_sign_preservation,mean_obs_top_second_gap,obs_top_fraction_minus,obs_top_fraction_base,obs_top_fraction_plus,do_top_fraction_minus,do_top_fraction_base,do_top_fraction_plus
0.0,confounded,logger1_heavy,validation,0.015,76,0.9473684210526315,0.9473684210526315,0.006167853222208149,0.006167853222208149,0.006167853222208149,0.006510511734553046,0.01602775370689508,0.06578947368421052,0.008504817539315318,0.0,0.0,1.0,0.9078947368421053,0.039473684210526314,0.05263157894736842
0.0,confounded,logger1_heavy,validation,0.02,76,0.9473684210526315,0.9473684210526315,0.006167853222208149,0.006167853222208149,0.006167853222208149,0.006510511734553046,0.021370338275860105,0.06578947368421052,0.012282595317093073,0.0,0.0,1.0,0.9078947368421053,0.039473684210526314,0.05263157894736842
0.0,confounded,logger1_heavy,validation,0.03,76,0.9473684210526315,0.9473684210526315,0.006167853222208149,0.006167853222208149,0.006167853222208149,0.006510511734553046,0.03205550741379016,0.06578947368421052,0.01983815087264876,0.0,0.0,1.0,0.9078947368421053,0.039473684210526314,0.05263157894736842
0.0,confounded,logger1_heavy,validation,0.05,76,0.9473684210526315,0.9473684210526315,0.006167853222208149,0.006167853222208149,0.006167853222208149,0.006510511734553046,0.05342584568965026,0.06578947368421052,0.03494926198375979,0.0,0.0,1.0,0.9078947368421053,0.039473684210526314,0.05263157894736842
0.0,confounded,logger1_heavy,test,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0029923784019150715,0.9358974358974359,0.01282051282051282,0.05128205128205128,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,test,0.0005,78,0.01282051282051282,0.01282051282051282,1.0460193584809037e-06,1.0460193584809037e-06,1.0460193584809037e-06,8.158950996151049e-05,0.0005342584568965025,1.0,0.0026668230797949888,0.9358974358974359,0.0,0.0641025641025641,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,test,0.001,78,0.02564102564102564,0.02564102564102564,1.7085742392436005e-05,1.7085742392436005e-05,1.7085742392436005e-05,0.0006663439533050042,0.001068516913793005,0.9871794871794872,0.002341572414409978,0.9230769230769231,0.0,0.07692307692307693,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,test,0.002,78,0.15384615384615385,0.15384615384615385,0.0003061445715972877,0.0003061445715972877,0.0003061445715972877,0.0019899397153823697,0.00213703382758601,0.8589743589743589,0.001743455410723157,0.7948717948717948,0.038461538461538464,0.16666666666666666,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,test,0.003,78,0.4230769230769231,0.4230769230769231,0.0013668109498027013,0.0013668109498027013,0.0013668109498027013,0.0032306440631700213,0.003205550741379016,0.5897435897435898,0.0014287429850883655,0.5256410256410257,0.038461538461538464,0.4358974358974359,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,test,0.005,78,0.7435897435897436,0.7435897435897436,0.003255522169245688,0.003255522169245688,0.003255522169245688,0.004378116020709718,0.005342584568965026,0.2692307692307692,0.0019703724547931486,0.20512820512820512,0.0,0.7948717948717948,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,test,0.0075,78,0.7692307692307693,0.7692307692307693,0.0033837054909694065,0.0033837054909694065,0.0033837054909694065,0.004398817138260228,0.00801387685344754,0.24358974358974358,0.003103910296274134,0.1794871794871795,0.02564102564102564,0.7948717948717948,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,test,0.01,78,0.9487179487179487,0.9487179487179487,0.005877633093443531,0.005877633093443531,0.005877633093443531,0.006195342990386424,0.010685169137930052,0.0641025641025641,0.004675896858230826,0.0,0.0,1.0,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,test,0.015,78,0.9487179487179487,0.9487179487179487,0.005877633093443531,0.005877633093443531,0.005877633093443531,0.006195342990386424,0.01602775370689508,0.0641025641025641,0.0084536746360085,0.0,0.0,1.0,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,test,0.02,78,0.9487179487179487,0.9487179487179487,0.005877633093443531,0.005877633093443531,0.005877633093443531,0.006195342990386424,0.021370338275860105,0.0641025641025641,0.012231452413786207,0.0,0.0,1.0,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,test,0.03,78,0.9487179487179487,0.9487179487179487,0.005877633093443531,0.005877633093443531,0.005877633093443531,0.006195342990386424,0.03205550741379016,0.0641025641025641,0.019787007969341925,0.0,0.0,1.0,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,test,0.05,78,0.9487179487179487,0.9487179487179487,0.005877633093443531,0.005877633093443531,0.005877633093443531,0.006195342990386424,0.05342584568965027,0.0641025641025641,0.034898119080452976,0.0,0.0,1.0,0.9358974358974359,0.01282051282051282,0.05128205128205128
0.0,confounded,logger1_heavy,trainval,0.0,434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.003213109657397928,0.923963133640553,0.01152073732718894,0.06451612903225806,0.923963133640553,0.01152073732718894,0.06451612903225806
0.0,confounded,logger1_heavy,trainval,0.0005,434,0.013824884792626729,0.013824884792626729,2.476094536671222e-06,2.476094536671222e-06,2.476094536671222e-06,0.00017910417148588506,0.0005342584568965025,0.9907834101382489,0.0028918660269393955,0.9193548387096774,0.002304147465437788,0.07834101382488479,0.923963133640553,0.01152073732718894,0.06451612903225806
0.0,confounded,logger1_heavy,trainval,0.001,434,0.04377880184331797,0.04377880184331797,3.5014679356319417e-05,3.5014679356319417e-05,3.5014679356319417e-05,0.0007998089916127698,0.001068516913793005,0.9608294930875576,0.002582618088056347,0.8894009216589862,0.0069124423963133645,0.10368663594470046,0.923963133640553,0.01152073732718894,0.06451612903225806
