action,bootstrap_unit,ci_high,ci_low,condition,kappa,lambda_reward,mean,metric,mixture,model_seed_count,n_anchors,seed_max,seed_min,seed_sd,seed_variation_reported_separately
base,anchor_id,0.03343476121676011,0.020510421633546685,confounded,0.0,0.05,0.02641442260789109,reward_population_mae,logger12_balanced,3,78,0.027234908914905445,0.024826223578041564,0.0013756737918591054,True
base,anchor_id,0.05006962162791673,0.028697061599617463,confounded,0.0,0.05,0.03983824206945804,reward_population_rmse,logger12_balanced,3,78,0.044437962781610586,0.03447266597044084,0.005026597854301622,True
base,anchor_id,0.010305256855480767,-0.007254536312412766,confounded,0.0,0.05,0.0019800093868125902,signed_balanced_neural_bias,logger12_balanced,3,78,0.005177105086794937,-0.001111559212902886,0.0031456599697426814,True
base,anchor_id,0.0,-7.11681426041767e-18,confounded,0.0,0.05,-2.8467257041670683e-18,signed_balanced_population_bias,logger12_balanced,3,78,-2.846725704167068e-18,-2.846725704167068e-18,4.7175456440955104e-34,True
minus,anchor_id,0.023675062981606893,0.015678305331068954,confounded,0.0,0.05,0.019407440877347994,paired_increment_absolute_error,logger12_balanced,3,78,0.020994736771480053,0.018180269528182365,0.001441379107596048,True
minus,anchor_id,-0.014825947257637367,-0.025749599234655102,confounded,0.0,0.05,-0.020332005203448997,paired_prediction_increment,logger12_balanced,3,78,-0.018532599378711143,-0.023585600507563434,0.0028229781053867187,True
minus,anchor_id,0.03585858988609295,0.021855762037323395,confounded,0.0,0.05,0.028441854580954096,reward_population_mae,logger12_balanced,3,78,0.029374071863299597,0.02704261055094184,0.0012339017181414347,True
minus,anchor_id,0.05206703624601869,0.03138795234041519,confounded,0.0,0.05,0.04213611162207901,reward_population_rmse,logger12_balanced,3,78,0.046718319845898505,0.036600364106016296,0.005125932595630049,True
minus,anchor_id,-0.013999010058607547,-0.032144480410853576,confounded,0.0,0.05,-0.022913296339314285,signed_balanced_neural_bias,logger12_balanced,3,78,-0.018302032938899274,-0.027055158309367534,0.004395401485064025,True
minus,anchor_id,-0.0299999999999999,-0.03,confounded,0.0,0.05,-0.029999999999999954,signed_balanced_population_bias,logger12_balanced,3,78,-0.029999999999999954,-0.029999999999999954,0.0,True
plus,anchor_id,0.020148496489217262,0.01306868921811588,confounded,0.0,0.05,0.016477483176810952,paired_increment_absolute_error,logger12_balanced,3,78,0.01795563452003158,0.014290532297011055,0.001932625458693106,True
plus,anchor_id,0.034100930912570215,0.024122658474021706,confounded,0.0,0.05,0.029141067568113434,paired_prediction_increment,logger12_balanced,3,78,0.030683304275658473,0.02794250730354609,0.0014023470090097,True
plus,anchor_id,0.03309466445710763,0.020172354495903762,confounded,0.0,0.05,0.026028555751470766,reward_population_mae,logger12_balanced,3,78,0.026968650849910993,0.025555811681551514,0.0008141507027617075,True
plus,anchor_id,0.048563145901090086,0.02791776171154736,confounded,0.0,0.05,0.03859398675042317,reward_population_rmse,logger12_balanced,3,78,0.04213467566934172,0.035493137218847726,0.0033425442797876737,True
plus,anchor_id,0.035504583893561203,0.018820475738089083,confounded,0.0,0.05,0.02708957867975827,signed_balanced_neural_bias,logger12_balanced,3,78,0.029387621679386217,0.024805398453880276,0.0022911430672185326,True
plus,anchor_id,0.03000000000000033,0.03000000000000022,confounded,0.0,0.05,0.030000000000000276,signed_balanced_population_bias,logger12_balanced,3,78,0.030000000000000276,0.030000000000000276,0.0,True
base,anchor_id,0.024072787213133093,0.01595437859950759,confounded,0.0,0.05,0.019924616967077462,base_prediction_absolute_increment,logger1_heavy,3,78,0.02092766873996532,0.019414396345671117,0.0008687118295132012,True
base,anchor_id,0.024225935345722788,0.01591787365303732,confounded,0.0,0.05,0.019924616967077462,paired_increment_absolute_error,logger1_heavy,3,78,0.02092766873996532,0.019414396345671117,0.0008687118295132012,True
