action,bootstrap_unit,ci_high,ci_low,ci_method,condition,kappa,lambda_reward,mean,metric,mixture,model_seed_count,n_anchors,sd,seed_max,seed_min,seed_sd,seed_variation_reported_separately,theoretical_slope
base,anchor_id,0.1541321584243628,0.11961581294324951,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.13576161053685537,heavy_slope_error,heavy,3,78,0.08141933332903134,0.15558469277524872,0.11846762300577858,0.018687334135634788,True,0.0
base,anchor_id,0.5231377094756724,0.4292751654220653,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.477200555812923,heavy_slope_r2,heavy,3,78,0.20930333337801704,0.5597625484314855,0.3854031797350192,0.08754579712235407,True,0.0
base,anchor_id,0.06495255290058825,0.005301853866394749,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.03530770523543933,heavy_slope_through_origin_increment,heavy,3,78,0.13754989771535436,0.0703272487557573,0.010048417088255329,0.0313022575146163,True,0.0
base,anchor_id,0.0553973026821082,-0.009186746914839394,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.02319135994473291,heavy_slope_with_intercept,heavy,3,78,0.1420853480000522,0.0623516497459992,-0.011374153297928563,0.0370770479857234,True,0.0
minus,anchor_id,0.28772190772416006,0.23110773116101857,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.25911067421895345,heavy_slope_error,heavy,3,78,0.13385240464094056,0.3411240628740605,0.19620193786603002,0.07432594690887766,True,-0.3111111111111111
minus,anchor_id,0.5452327066090003,0.44707239789657127,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.49390979923410566,heavy_slope_r2,heavy,3,78,0.22602618361489074,0.5541671239083276,0.42934271650873185,0.06252370495667751,True,-0.3111111111111111
minus,anchor_id,-0.03167853807465314,-0.09412114195509676,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,-0.0639482124890329,heavy_slope_through_origin_increment,heavy,3,78,0.14145783935664716,0.0017294340358361192,-0.11490358828184806,0.059694006528044935,True,-0.3111111111111111
minus,anchor_id,-0.03001118483458386,-0.09787243060887539,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,-0.06366774228708667,heavy_slope_with_intercept,heavy,3,78,0.1501489082389981,0.025909999108383958,-0.12838860936723467,0.08009627516260585,True,-0.3111111111111111
plus,anchor_id,0.25229067290425194,0.2035006772104027,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.22655358989879687,heavy_slope_error,heavy,3,78,0.10858918568446803,0.24561682878617377,0.21152639898799036,0.017399902683868696,True,0.31111111111111134
plus,anchor_id,0.5482618124648969,0.44550824090166086,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.4972859697222128,heavy_slope_r2,heavy,3,78,0.23392220336839584,0.6173753239653078,0.43333712426027116,0.10407368679124811,True,0.31111111111111134
