kappa,condition,mixture,lambda_reward,method,metric,n_seeds,mean,sd,ci95_low,ci95_high
0.0,confounded,logger1_heavy,0.05,source_shuffle,top_set_disagreement,5,0.9080906148867314,0.001772564911019934,0.9058896848522386,0.9102915449212241
0.0,confounded,logger1_heavy,0.05,source_shuffle,mean_regret,5,0.006586063430203568,7.891655505845467e-06,0.0065762646456757326,0.006595862214731403
0.0,confounded,logger1_heavy,0.05,no_behavior,mae,5,0.030833600331157666,0.001299829969184131,0.02921964825463542,0.032447552407679915
0.0,confounded,logger1_heavy,0.05,no_behavior,top_set_disagreement,5,0.9074433656957929,0.001772564911019934,0.9052424356613001,0.9096442957302856
0.0,confounded,logger1_heavy,0.05,no_behavior,mean_regret,5,0.006585294995905658,8.547958895959143e-06,0.006574681303086419,0.006595908688724896
0.0,confounded,logger1_heavy,0.05,source_dependent_reward,mae,5,0.025929709686733592,0.0006496202144703759,0.025123099653920317,0.026736319719546868
0.0,confounded,logger1_heavy,0.05,source_dependent_reward,top_set_disagreement,5,0.9087378640776699,0.0014472931893202352,0.9069408122296454,0.9105349159256944
0.0,confounded,logger1_heavy,0.05,source_dependent_reward,mean_regret,5,0.00658367646759341,3.6784937314258037e-06,0.00657910901435948,0.00658824392082734
0.0,confounded,logger1_heavy,0.1,pooled_mlp,mae,5,0.05601649121352398,0.0008620174139462994,0.054946155224802146,0.05708682720224581
0.0,confounded,logger1_heavy,0.1,pooled_mlp,top_set_disagreement,5,0.9087378640776699,0.001447293189320235,0.9069408122296454,0.9105349159256944
0.0,confounded,logger1_heavy,0.1,pooled_mlp,mean_regret,5,0.00658367646759341,3.678493731425804e-06,0.00657910901435948,0.00658824392082734
0.0,confounded,logger1_heavy,0.1,source_balanced_pooled_mlp,mae,5,0.04511357181541863,0.0011911816485641168,0.04363452444707555,0.0465926191837617
0.0,confounded,logger1_heavy,0.1,source_balanced_pooled_mlp,top_set_disagreement,5,0.9080906148867314,0.001772564911019934,0.9058896848522386,0.9102915449212241
0.0,confounded,logger1_heavy,0.1,source_balanced_pooled_mlp,mean_regret,5,0.006579170421561004,6.556019071737992e-06,0.006571030048708089,0.006587310794413918
0.0,confounded,logger1_heavy,0.1,source_conditioned_decoder,mae,5,0.046927209913228685,0.0008557613635749534,0.0458646418370239,0.04798977798943347
0.0,confounded,logger1_heavy,0.1,source_conditioned_decoder,top_set_disagreement,5,0.9087378640776699,0.0014472931893202352,0.9069408122296454,0.9105349159256944
0.0,confounded,logger1_heavy,0.1,source_conditioned_decoder,mean_regret,5,0.006584464500980783,4.599643405707946e-06,0.00657875328935934,0.006590175712602226
0.0,confounded,logger1_heavy,0.1,per_source_models,mae,5,0.03990108183711074,0.0005160501142394046,0.03926032098899073,0.04054184268523075
0.0,confounded,logger1_heavy,0.1,per_source_models,top_set_disagreement,5,0.9093851132686084,0.0,0.9093851132686084,0.9093851132686084
0.0,confounded,logger1_heavy,0.1,per_source_models,mean_regret,5,0.00658702053722098,3.7990732773137746e-06,0.006582303364706002,0.006591737709735959
0.0,confounded,logger1_heavy,0.1,mechanism_separated,mae,5,0.056087570851403076,0.0012994169432805909,0.054474131614275584,0.05770101008853057
0.0,confounded,logger1_heavy,0.1,mechanism_separated,top_set_disagreement,5,0.9093851132686084,0.0,0.9093851132686084,0.9093851132686084
0.0,confounded,logger1_heavy,0.1,mechanism_separated,mean_regret,5,0.0065853215400010654,9.69739903612216e-19,0.006585321540001065,0.006585321540001066
0.0,confounded,logger1_heavy,0.1,oracle_u_aware,mae,5,0.011825295651702063,0.001051887826347776,0.010519204407577214,0.013131386895826913
0.0,confounded,logger1_heavy,0.1,oracle_u_aware,top_set_disagreement,5,0.24207119741100325,0.03350725982018069,0.2004664392138253,0.2836759556081812
0.0,confounded,logger1_heavy,0.1,oracle_u_aware,mean_regret,5,0.0008744728026560663,0.00012845855818274476,0.0007149704356993883,0.0010339751696127443
0.0,confounded,logger1_heavy,0.1,source_shuffle,mae,5,0.05648541410884679,0.0011479601644021527,0.05506003330133656,0.05791079491635702
0.0,confounded,logger1_heavy,0.1,source_shuffle,top_set_disagreement,5,0.9087378640776699,0.0014472931893202352,0.9069408122296454,0.9105349159256944
0.0,confounded,logger1_heavy,0.1,source_shuffle,mean_regret,5,0.006583661233542001,7.061259079871794e-06,0.006574893522360535,0.006592428944723467
0.0,confounded,logger1_heavy,0.1,no_behavior,mae,5,0.05655660825707569,0.0011550416054423212,0.05512243467917048,0.057990781834980895
0.0,confounded,logger1_heavy,0.1,no_behavior,top_set_disagreement,5,0.9080906148867314,0.001772564911019934,0.9058896848522386,0.9102915449212241
