action,bootstrap_repetitions,bootstrap_unit,ci_high,ci_low,component,condition,family,kappa,lambda_reward,max,max_abs,mean,median,mixture,n_anchors,p10,p25,p75,p90,std
minus,2000,anchor_id,1.491862189340054e-16,8.673075278797793e-17,physical_bias,independent_latents,heavy_drift,0.0,0.1,8.881784197001252e-16,8.881784197001252e-16,1.1839487723541708e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.6501984799124897e-16
minus,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.1,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.491862189340054e-16,8.802095337323568e-17,total_bias,independent_latents,heavy_drift,0.0,0.1,8.881784197001252e-16,8.881784197001252e-16,1.1839487723541708e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.6501984799124897e-16
minus,2000,anchor_id,0.0,0.0,decomposition_residual,independent_latents,heavy_drift,0.0,0.1,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
plus,2000,anchor_id,1.6460357382674916e-16,9.648315132948504e-17,physical_bias,independent_latents,heavy_drift,0.0,0.1,8.881784197001252e-16,8.881784197001252e-16,1.2988742026376343e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9803706871919335e-16
plus,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.1,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
plus,2000,anchor_id,1.6284716630732277e-16,9.64939933512099e-17,total_bias,independent_latents,heavy_drift,0.0,0.1,8.881784197001252e-16,8.881784197001252e-16,1.2988742026376343e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9803706871919335e-16
plus,2000,anchor_id,0.0,0.0,decomposition_residual,independent_latents,heavy_drift,0.0,0.1,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,physical_bias,confounded,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,direct_bias,confounded,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,total_bias,confounded,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,decomposition_residual,confounded,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.6263032587282567e-16,9.648857234034747e-17,physical_bias,confounded,heavy_drift,0.0,0.2,1.7763568394002505e-15,1.7763568394002505e-15,1.3010426069826053e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9660000682681246e-16
minus,2000,anchor_id,-0.06222222222222228,-0.06222222222222228,direct_bias,confounded,heavy_drift,0.0,0.2,-0.06222222222222226,0.06222222222222226,-0.06222222222222228,-0.06222222222222226,logger1_minus_logger2,512,-0.06222222222222226,-0.06222222222222226,-0.06222222222222226,-0.06222222222222226,2.083704032950843e-17
minus,2000,anchor_id,-0.062222222222222026,-0.062222222222222096,total_bias,confounded,heavy_drift,0.0,0.2,-0.0622222222222204,0.06222222222222351,-0.062222222222222054,-0.06222222222222218,logger1_minus_logger2,512,-0.06222222222222262,-0.06222222222222218,-0.062222222222221735,-0.062222222222221735,4.028793835344637e-16
minus,2000,anchor_id,7.567731163948821e-17,6.765421556309548e-17,decomposition_residual,confounded,heavy_drift,0.0,0.2,8.326672684688674e-17,3.608224830031759e-16,7.19910242530375e-17,8.326672684688674e-17,logger1_minus_logger2,512,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,4.626019795377291e-17
plus,2000,anchor_id,1.6090102340771126e-16,9.584347204771859e-17,physical_bias,confounded,heavy_drift,0.0,0.2,8.881784197001252e-16,8.881784197001252e-16,1.2858637765678083e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.756510438829974e-16
plus,2000,anchor_id,0.06222222222222228,0.06222222222222228,direct_bias,confounded,heavy_drift,0.0,0.2,0.06222222222222226,0.06222222222222226,0.06222222222222228,0.06222222222222226,logger1_minus_logger2,512,0.06222222222222226,0.06222222222222226,0.06222222222222226,0.06222222222222226,2.083704032950843e-17
plus,2000,anchor_id,0.062222222222222345,0.062222222222222276,total_bias,confounded,heavy_drift,0.0,0.2,0.06222222222222307,0.06222222222222307,0.06222222222222231,0.06222222222222218,logger1_minus_logger2,512,0.062222222222221735,0.06222222222222218,0.06222222222222262,0.06222222222222262,3.7833639811260863e-16
plus,2000,anchor_id,-7.697835424647081e-17,-8.456776945386935e-17,decomposition_residual,confounded,heavy_drift,0.0,0.2,1.3877787807814457e-16,5.273559366969494e-16,-8.066464163292153e-17,-8.326672684688674e-17,logger1_minus_logger2,512,-8.326672684688674e-17,-8.326672684688674e-17,-8.326672684688674e-17,-8.326672684688674e-17,4.54713338977426e-17
base,2000,anchor_id,0.0,0.0,physical_bias,independent_latents,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,total_bias,independent_latents,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,decomposition_residual,independent_latents,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.49625320813862e-16,8.73758530806068e-17,physical_bias,independent_latents,heavy_drift,0.0,0.2,8.881784197001252e-16,8.881784197001252e-16,1.1839487723541708e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.6501984799124897e-16
minus,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.5331160820031272e-16,8.673617379884035e-17,total_bias,independent_latents,heavy_drift,0.0,0.2,8.881784197001252e-16,8.881784197001252e-16,1.1839487723541708e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.6501984799124897e-16
minus,2000,anchor_id,0.0,0.0,decomposition_residual,independent_latents,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
plus,2000,anchor_id,1.6567151296664748e-16,9.605489147135327e-17,physical_bias,independent_latents,heavy_drift,0.0,0.2,8.881784197001252e-16,8.881784197001252e-16,1.2988742026376343e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9803706871919335e-16
plus,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
plus,2000,anchor_id,1.6371452804531117e-16,9.562663161322149e-17,total_bias,independent_latents,heavy_drift,0.0,0.2,8.881784197001252e-16,8.881784197001252e-16,1.2988742026376343e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9803706871919335e-16
plus,2000,anchor_id,0.0,0.0,decomposition_residual,independent_latents,heavy_drift,0.0,0.2,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,physical_bias,confounded,heavy_drift,0.3,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,direct_bias,confounded,heavy_drift,0.3,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,total_bias,confounded,heavy_drift,0.3,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,decomposition_residual,confounded,heavy_drift,0.3,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,0.0011236543375359967,0.0009048571707929178,physical_bias,confounded,heavy_drift,0.3,0.0,0.003526825661599897,0.004949233664676811,0.001012526063611482,0.001103670121443967,logger1_minus_logger2,512,-0.00026091618138859293,0.0006004112275436735,0.001519077937059854,0.00267409433131558,0.001266550201751085
minus,2000,anchor_id,0.0,0.0,direct_bias,confounded,heavy_drift,0.3,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
